Rank,Vehicle,2015,2014,% Change,Dec. 2015,Dec. 2014,% Change.1
#27,Chrysler 200,177889,117363,51.6%,8579,16229,-47.1%
#28,Subaru Forester,175192,159953,9.5%,16797,15163,10.8%
#29,Kia Optima,159414,159020,0.2%,13682,11827,15.7%
#30,Toyota Highlander,158915,146127,8.8%,16100,15019,7.2%
#31,Subaru Outback,152294,138790,9.7%,16067,14772,8.8%
#32,Kia Soul,147133,145316,1.3%,12159,9906,22.7%
#33,Nissan Versa,144528,139781,3.4%,11058,9129,21.1%
#34,Toyota Sienna,137497,124502,10.4%,12407,11688,6.2%
#35,Honda Pilot,136212,108857,25.1%,13344,11479,16.2%
#36,Volkswagen Jetta,131109,160873,-18.5%,14073,15578,-9.7%
#36.1,Volkswagen Jetta Sedan *,128438,141354,-9.1%,14073,14572,-3.4%
#36.2,Volkswagen Jetta SportWagen *,2671,19519,-86.3%,—,1006,-100%
#37,Honda Odyssey,127736,122738,4.1%,11800,10368,13.8%
#38,Ford Edge,124120,108864,14.0%,10263,7940,29.3%
#39,Ford Mustang,122349,82635,48.1%,8742,9511,-8.1%
#40,Chevrolet Traverse,119945,103943,15.4%,9143,8654,5.7%
#41,Toyota Tundra,118880,118493,0.3%,11150,10519,6.0%
#42,Jeep Patriot,118464,93462,26.8%,11206,9434,18.8%
#43,Hyundai Santa Fe,118134,107906,9.5%,9518,10395,-8.4%
#44,Toyota Prius ²,118020,136040,-13.2%,10175,9291,9.5%
#44.1,Toyota Prius *,113829,122776,-7.3%,10153,8799,15.4%
#44.2,Toyota Prius Plug-In *,4191,13264,-68.4%,22,492,-95.5%
#45,Ford Transit,117577,20448,475%,12547,10030,25.1%
#46,Chevrolet Impala,116825,140280,-16.7%,9060,13088,-30.8%
#47,Kia Sorento,116249,102520,13.4%,12872,9688,32.9%
#48,GMC Terrain,112030,105016,6.7%,9649,11032,-12.5%
#49,Mazda CX-5,111450,99122,12.4%,11417,7721,47.9%
#50,Mazda 3,107885,104985,2.8%,9838,9719,1.2%
#51,Dodge Journey,105400,93572,12.6%,8682,8421,3.1%
#52,Lexus RX,100610,107490,-6.4%,11899,13625,-12.7%
#53,Subaru Impreza,100519,83488,20.4%,9148,8624,6.1%
#53.1,Subaru Impreza *,66785,57996,15.2%,6059,5808,4.3%
#53.2,Subaru Impreza WRX/STI,33734,25492,32.3%,3089,2816,9.7%
#54,Dodge Grand Caravan,97141,134152,-27.6%,12670,11253,12.6%
#55,Toyota 4Runner,97034,76906,26.2%,9953,8144,22.2%
#56,GMC Acadia,96393,83972,14.8%,7266,7323,-0.8%
#57,Dodge Charger,94725,94099,0.7%,8667,8422,2.9%
#58,BMW 3-Series ³,94527,100970,-6.2%,5262,13339,-60.6%
#59,Chrysler Town & Country,93848,138040,-32.0%,10857,10709,1.4%
#60,Subaru XV Crosstrek,88927,70956,25.3%,8090,5482,47.6%
#61,Chevrolet Tahoe,88342,97726,-9.6%,9773,11259,-13.2%
#62,Dodge Dart,87392,83858,4.2%,6731,6881,-2.2%
#63,Mercedes-Benz C-Class,86080,75065,14.7%,7023,8224,-14.6%
#64,Chevrolet Colorado,84430,8003,955%,7909,4037,95.9%
#65,Nissan Pathfinder,82041,79111,3.7%,8366,6789,23.2%
#66,Kia Forte,78919,69336,13.8%,5411,5306,2.0%
#67,Volkswagen Passat,78207,96649,-19.1%,3596,8257,-56.4%
#68,Chevrolet Camaro,77502,86297,-10.2%,5366,6628,-19.0%
#69,Cadillac SRX,68850,53578,28.5%,7031,4899,43.5%
#70,Buick Encore,67549,48892,38.2%,6498,3102,109%
#71,Jeep Compass,66698,61264,8.9%,8825,4946,78.4%
#72,Dodge Challenger,66365,51611,28.6%,4744,4938,-3.9%
#73,Volkswagen Golf,65308,33675,93.9%,5715,4405,29.7%
#73.1,Volkswagen Golf GTI *,23669,17362,36.3%,2369,1789,32.4%
#73.2,Volkswagen Golf *,19257,15941,20.8%,1191,2379,-49.9%
#73.3,Volkswagen Golf SportWagen *,14009,—,—,897,—,—
#73.4,Volkswagen e-Golf *,4232,357,"1,085%",609,237,157%
#73.5,Volkswagen Golf R *,4141,15,"27,507%",649,—,—
#74,Lexus ES,64969,72508,-10.4%,7856,7782,1.0%
#75,Chevrolet Sonic,64775,93518,-30.7%,7293,5456,33.7%
#76,Ford Fiesta,64458,63192,2.0%,3550,3724,-4.7%
#77,Dodge Durango,64186,64398,-0.3%,7624,6119,24.6%
#78,Hyundai Tucson,63591,47306,34.4%,8311,3114,167%
#79,Chevrolet Express,63382,79352,-20.1%,7361,5611,31.2%
#80,Chevrolet Trax,63030,739,"8,429%",5323,739,620%
#81,Nissan Murano,62907,47301,33.0%,7083,4367,62.2%
#82,Nissan Frontier,62817,74323,-15.5%,5693,6060,-6.1%
#83,Buick Enclave,62081,62300,-0.4%,5936,7393,-19.7%
#84,Hyundai Accent,61486,63309,-2.9%,2718,8566,-68.3%
#85,Jeep Renegade,60946,—,—,8975,—,—
#86,Subaru Legacy,60447,52270,15.6%,5759,5457,5.5%
#87,Toyota Avalon,60063,67183,-10.6%,5816,6501,-10.5%
#88,Acura MDX,58208,65603,-11.3%,6254,6761,-7.5%
#89,Mazda 6,57897,53224,8.8%,4168,4323,-3.6%
#90,BMW X5,54997,47031,16.9%,6250,6098,2.5%
#91,Kia Sportage,53739,42945,25.1%,6044,3298,83.3%
#92,Chrysler 300,53109,53382,-0.5%,4856,3992,21.6%
#93,Honda Fit,52724,59340,-11.1%,4197,6450,-34.9%
#94,Ford Transit Connect,52221,43210,20.9%,5280,5012,5.3%
#95,Audi Q5,52006,42420,22.6%,6057,4551,33.1%
#96,Acura RDX,51026,44865,13.7%,4942,5156,-4.2%
#97,Chevrolet Suburban,50866,55009,-7.5%,6350,6761,-6.1%
#98,Ford E-Series,50788,103263,-50.8%,3722,5256,-29.2%
#99,Mercedes-Benz E-Class,49736,66401,-25.1%,4999,5119,-2.3%
#100,Ford Taurus,48816,62629,-22.1%,4022,3748,7.3%
#100.1,Ford Taurus *,39051,52395,-25.5%,3250,3061,6.2%
#100.2,Ford Taurus Police Interceptor *,9765,10234,-4.6%,772,687,12.4%
#101,Acura TLX,47080,19127,146%,3508,3834,-8.5%
#102,Lexus IS,46430,51358,-9.6%,5028,5939,-15.3%
#103,BMW 4-Series ³,46082,41442,11.2%,5601,5859,-4.4%
#104,BMW 5-Series,44162,52704,-16.2%,2985,5517,-45.9%
#105,Infiniti Q50,43874,36899,18.9%,4678,3855,21.3%
#106,Lexus NX,43764,2927,"1,395%",5134,2905,76.7%
#107,GMC Yukon,42732,41569,2.8%,5271,4729,11.5%
#108,Buick LaCrosse,42035,51468,-18.3%,3158,5034,-37.3%
#109,Honda HR-V,41969,—,—,4737,—,—
#110,Infiniti QX60,41770,31192,33.9%,4987,3367,48.1%
#111,Ford Expedition,41443,44632,-7.1%,4056,4239,-4.3%
#112,Nissan Maxima,40359,50401,-19.9%,4771,3180,50.0%
#113,Mini Cooper,40120,31385,27.8%,2823,4545,-37.9%
#113.1,Mini Cooper 2-Door *,19778,21495,-8.0%,956,3063,-68.8%
#113.2,Mini Cooper 4-Door *,15189,1348,"1,027%",1247,1113,12.0%
#113.3,Mini Cooper Convertible *,3098,3536,-12.4%,147,219,-32.9%
#113.4,Mini Cooper Roadster *,1103,1437,-23.2%,4,95,-95.8%
#113.5,Mini Cooper Clubman *,492,2613,-81.2%,464,4,"11,500%"
#113.6,Mini Cooper Coupe *,460,956,-51.9%,5,51,-90.2%
#114,Toyota Prius C ²,38469,40570,-5.2%,2846,2839,0.2%
#115,Mitsubishi Outlander Sport,36966,31054,19.0%,3356,2755,21.8%
#116,Kia Sedona,36755,14567,152%,2316,2997,-22.7%
#117,Audi A3,35984,22250,61.7%,3252,2690,20.9%
#118,Cadillac Escalade,35923,30522,17.7%,4659,3740,24.6%
#119,Volkswagen Tiguan,35843,25121,42.7%,4900,2116,132%
#120,Chevrolet Corvette,33329,34839,-4.3%,2453,3552,-30.9%
#121,Chevrolet Spark,32853,39159,-16.1%,1384,3007,-54.0%
#122,Mercedes-Benz M-Class,32550,46726,-30.3%,330,5625,-94.1%
#123,BMW X3,31924,33824,-5.6%,3126,2795,11.8%
#124,Buick Verano,31886,43743,-27.1%,2545,3017,-15.6%
#125,Audi A4,31831,38679,-17.7%,3426,3599,-4.8%
#125.1,Audi A4 Sedan *,29013,33993,-14.7%,3172,3197,-0.8%
#125.2,Audi A4 Allroad *,2818,4686,-39.9%,254,402,-36.8%
#126,Hyundai Genesis ³,31374,29992,4.6%,3094,2923,5.9%
#127,GMC Yukon XL,31334,29752,5.3%,4536,3260,39.1%
#128,Lincoln MKZ,30901,34009,-9.1%,3207,2636,21.7%
#129,GMC Canyon,30077,3070,880%,3000,1533,95.7%
#130,Mercedes-Benz Sprinter/Metris,29889,25745,16.1%,4046,3288,23.1%
#131,Mercedes-Benz CLA-Class,29643,27365,8.3%,1912,2664,-28.2%
#132,Ram ProMaster,28345,18039,57.1%,4279,3036,40.9%
#133,Toyota Prius V ²,28290,30762,-8.0%,2040,2284,-10.7%
#134,Mercedes-Benz GL-Class,27707,26597,4.2%,2849,3394,-16.1%
#135,Nissan Juke,27121,38184,-29.0%,1958,2155,-9.1%
#136,Cadillac ATS,26873,29890,-10.1%,3451,2465,40.0%
#137,Volvo XC60,26134,19276,35.6%,3510,2079,68.8%
#138,Mercedes-Benz GLA-Class,25593,6884,272%,2200,2074,6.1%
#139,Lexus GX460,25212,22685,11.1%,3118,2707,15.2%
#140,Fiat 500,25084,33708,-25.6%,1501,2302,-34.8%
#141,Lincoln MKC,24590,13077,88.0%,2566,2310,11.1%
#142,Hyundai Veloster,24245,27598,-12.1%,2246,1685,33.3%
#143,Kia Rio,23742,35933,-33.9%,997,1924,-48.2%
#144,Mercedes-Benz GLK-Class,23333,35000,-33.3%,304,1857,-83.6%
#145,Lexus GS,23117,22198,4.1%,3423,2745,24.7%
#146,Cadillac XTS,23112,24335,-5.0%,3070,2276,34.9%
#147,Audi A6,22850,23941,-4.6%,2456,2945,-16.6%
#148,Volkswagen Beetle,22667,29182,-22.3%,1311,2270,-42.2%
#148.1,Volkswagen Beetle Coupe *,13025,17414,-25.2%,958,1600,-40.1%
#148.2,Volkswagen Beetle Convertible *,9642,11768,-18.1%,353,670,-47.3%
#149,Lincoln MKX,22199,23995,-7.5%,2960,1669,77.4%
#150,GMC Savana,21992,26641,-17.5%,2781,1725,61.2%
#151,Mercedes-Benz S-Class,21934,25276,-13.2%,2163,2832,-23.6%
#152,Ford C-Max,21768,27595,-21.1%,1416,1962,-27.8%
#153,Mitsubishi Mirage,21515,16708,28.8%,1262,1135,11.2%
#154,Land Rover Range Rover Sport,21459,17897,19.9%,2246,2036,10.3%
#155,Toyota Venza,21351,29991,-28.8%,401,2419,-83.4%
#156,Mercedes-Benz GLE-Class,20663,—,—,6310,—,—
#157,Ford Flex,19570,23822,-17.8%,1735,1786,-2.9%
#158,Buick Regal,19504,22560,-13.5%,2571,1811,42.0%
#159,Cadillac CTS,19485,31115,-37.4%,2441,2652,-8.0%
#160,Mitsubishi Outlander,19055,13068,45.8%,1936,1096,76.6%
#161,Audi Q7,18995,18517,2.6%,1189,1928,-38.3%
#162,Acura ILX,18531,17854,3.8%,1960,1730,13.3%
#163,Mazda CX-9,18048,18497,-2.4%,1202,1749,-31.3%
#164,Land Rover Range Rover,17821,12830,38.9%,1835,1482,23.8%
#165,Mitsubishi Lancer,17691,16495,7.3%,1324,1547,-14.4%
#166,Nissan NV200,17317,13385,29.4%,1781,1532,16.3%
#167,Nissan Leaf,17269,30200,-42.8%,1347,3102,-56.6%
#168,Nissan NV,16958,14890,13.9%,1924,1554,23.8%
#169,Toyota Yaris,16779,13274,26.4%,377,1605,-76.5%
#170,Volvo S60,16706,20457,-18.3%,1486,1866,-20.4%
#171,Mini Countryman,16686,22645,-26.3%,2148,1941,10.7%
#172,Porsche Cayenne,16474,16205,1.7%,1230,934,31.7%
#173,Scion tC,16459,17947,-8.3%,976,1128,-13.5%
#174,Infiniti QX80,15646,12935,21.0%,2171,1615,34.4%
#175,Chevrolet Volt,15393,18805,-18.1%,2114,1490,41.9%
#176,Scion xB,15223,16583,-8.2%,886,1480,-40.1%
#177,Lexus RC,14784,1922,669%,1711,1042,64.2%
#178,Lexus CT200h,14657,17673,-17.1%,1464,1608,-9.0%
#179,Land Rover Range Rover Evoque,14583,12440,17.2%,1370,1426,-3.9%
#180,BMW X1,14420,22808,-36.8%,1769,2591,-31.7%
#181,Porsche Macan,13533,7241,86.9%,1382,864,60.0%
#182,Audi Q3,13229,3654,262%,1501,901,66.6%
#183,BMW 2-Series,13020,7345,77.3%,2143,724,196%
#184,Audi A5,12934,16620,-22.2%,1000,1292,-22.6%
#185,Volvo XC90,12777,3952,223%,3135,68,"4,510%"
#186,Nissan Armada,12737,12593,1.1%,1156,1361,-15.1%
#187,Toyota Sequoia,12583,11806,6.6%,1007,1261,-20.1%
#188,Nissan Titan,12140,12527,-3.1%,1018,869,17.1%
#189,Lincoln Navigator,11964,10433,14.7%,1250,1792,-30.2%
#190,Ram ProMaster City,11124,—,—,3011,—,—
#191,BMW i3,11024,6092,81.0%,1422,1013,40.4%
#192,Nissan Quest,11018,9833,12.1%,1703,685,149%
#193,Nissan Xterra,10672,16505,-35.3%,70,1137,-93.8%
#194,Scion FR-S,10507,14062,-25.3%,588,834,-29.5%
#195,Chevrolet City Express,10283,530,"1,840%",1088,506,115%
#196,Porsche 911,9898,10433,-5.1%,654,776,-15.7%
#197,Fiat 500X,9463,—,—,1996,—,—
#198,BMW 7-Series,9292,9744,-4.6%,1266,1096,15.5%
#199,Honda Crosstour,9104,11802,-22.9%,613,863,-29.0%
#200,Land Rover LR4,9031,4679,93.0%,1315,736,78.7%
#201,Mazda 5,8609,11613,-25.9%,299,759,-60.6%
#202,Infiniti Q40,8605,15590,-44.8%,31,1184,-97.4%
#203,Mazda MX-5 Miata,8591,4745,81.1%,706,378,86.8%
#204,Infiniti Q70,8449,5034,67.8%,786,656,19.8%
#205,BMW 6-Series,8146,8647,-5.8%,1461,890,64.2%
#206,BMW X6,7906,3896,103%,1547,458,238%
#207,Fiat 500L,7863,12413,-36.7%,308,1482,-79.2%
#208,Audi A7,7721,8133,-5.1%,841,524,60.5%
#209,Land Rover Discovery Sport,7611,—,—,1674,—,—
#210,Scion iA,7605,—,—,1808,—,—
#211,Smart Fortwo,7484,10453,-28.4%,669,973,-31.2%
#212,Nissan 370Z,7391,7199,2.7%,481,446,7.8%
#213,Kia Cadenza,7343,9267,-20.8%,598,548,9.1%
#214,Lexus LS,7165,8559,-16.3%,854,1020,-16.3%
#215,Volkswagen Touareg,7037,6961,1.1%,486,605,-19.7%
#216,Lincoln MKS,6877,8160,-15.7%,471,927,-49.2%
#217,BMW X4,6429,2709,137%,884,820,7.8%
#218,Mazda CX-3,6406,—,—,1663,—,—
#219,Volkswagen CC,6276,9995,-37.2%,633,623,1.6%
#220,Mercedes-Benz CLS-Class,6152,6981,-11.9%,581,575,1.0%
#221,Jaguar XF,5933,5880,0.9%,559,772,-27.6%
#222,Infiniti QX70,5737,5213,10.1%,697,448,55.6%
#223,Hyundai Azera,5539,7232,-23.4%,358,697,-48.6%
#224,Infiniti QX50,5468,2727,101%,1453,224,549%
#225,Subaru BRZ,5296,7504,-29.4%,413,416,-0.7%
#226,Volvo XC70,5118,5093,0.5%,432,470,-8.1%
#227,Scion iM,5097,—,—,1245,—,—
#228,Audi A8,4990,5904,-15.5%,424,732,-42.1%
#229,Porsche Panamera,4985,5740,-13.2%,256,320,-20.0%
#230,Lincoln MKT,4696,4800,-2.2%,406,356,14.0%
#231,Jaguar F-Type,4629,4112,12.6%,430,448,-4.0%
#232,Mercedes-Benz GLC-Class,4569,—,—,4062,—,—
#233,Volvo V60,4362,4990,-12.6%,296,357,-17.1%
#234,Mercedes-Benz SLK-Class,4182,4737,-11.7%,290,384,-24.5%
#235,Mercedes-Benz SL-Class,4060,5030,-19.3%,380,539,-29.5%
#236,Infiniti Q60,3949,7740,-49.0%,290,658,-55.9%
#237,Lexus LX570,3884,4052,-4.1%,892,505,76.6%
#238,Mercedes-Benz G-Class,3616,3090,17.0%,541,375,44.3%
#239,Jaguar XJ,3611,4329,-16.6%,207,375,-44.8%
#240,Porsche Cayman,3561,3417,4.2%,200,198,1.0%
#241,Ram Cargo Van,3222,11311,-71.5%,38,1370,-97.2%
#242,Porsche Boxster,3102,3875,-19.9%,214,144,48.6%
#243,Honda CR-Z,3073,3562,-13.7%,316,224,41.1%
#244,Volkswagen Eos,2993,3411,-12.3%,242,204,18.6%
#245,Chevrolet SS,2895,2479,16.8%,134,93,44.1%
#246,Volvo V60 Cross Country,2769,—,—,202,—,—
#247,Toyota Land Cruiser,2687,3158,-14.9%,350,365,-4.1%
#248,Kia K900,2524,1330,89.8%,162,93,74.2%
#249,Hyundai Equus,2332,3415,-31.7%,201,343,-41.4%
#250,BMW i8,2265,555,308%,656,158,315%
#251,Acura RLX,2195,3413,-35.7%,159,233,-31.8%
#252,Mercedes-Benz B-Class,1906,776,146%,97,326,-70.2%
#253,Volvo S80,1887,1753,7.6%,176,79,123%
#254,Chevrolet Caprice PPV,1845,3727,-50.5%,220,288,-23.6%
#255,BMW Z4,1829,2151,-15.0%,253,168,50.6%
#256,Mini Paceman,1708,2082,-18.0%,38,129,-70.5%
#257,Honda Insight,1458,3965,-63.2%,22,311,-92.9%
#258,Mercedes-AMG GT,1277,—,—,162,—,—
#259,Dodge Avenger,1268,51705,-97.5%,75,455,-83.5%
#260,Audi TT,1167,1158,0.8%,238,12,"1,883%"
#261,Nissan GT-R,1105,1436,-23.1%,84,156,-46.2%
#262,Cadillac ELR,1024,1310,-21.8%,135,118,14.4%
#263,Nissan Cube,943,3785,-75.1%,13,186,-93.0%
#264,Scion xD,794,7377,-89.2%,8,288,-97.2%
#265,Dodge Viper,676,760,-11.1%,63,89,-29.2%
#266,Alfa Romeo 4C,663,91,629%,57,67,-14.9%
#267,Honda Ridgeline,520,13389,-96.1%,2,481,-99.6%
#268,Audi R8,495,735,-32.7%,15,64,-76.6%
#269,Scion iQ,482,2040,-76.4%,2,87,-97.7%
#270,Mazda 2,297,13615,-97.8%,1,159,-99.4%
#271,Jaguar XK,293,1452,-79.8%,1,88,-98.9%
#272,Volvo S60 Cross Country,287,—,—,104,—,—
#273,Toyota FJ Cruiser,229,14718,-98.4%,3,402,-99.3%
#274,Porsche 918 Spyder,203,96,111%,—,39,-100%
#275,Mitsubishi i MiEV,115,196,-41.3%,9,12,-25.0%
#276,Acura TL,88,10616,-99.2%,—,76,-100%
#277,Land Rover LR2,77,3619,-97.9%,1,74,-98.6%
#278,Toyota Mirai,72,—,0.0%,15,—,—
#279,Chevrolet Captiva Sport,55,35368,-99.8%,—,15,-100%
#280,Mercedes-Benz CL-Class,54,221,-75.6%,—,14,-100%
#281,Acura TSX,35,6287,-99.4%,—,17,-100%
#282,Mercedes-Benz SLS AMG,29,232,-87.5%,—,6,-100%
#283,Lexus LFA,9,17,-47.1%,1,1,0.0%
#284,Chevrolet Avalanche,8,92,-91.3%,—,2,-100%
#285,Volvo C70,7,779,-99.1%,—,1,-100%
#286,Mercedes-Benz R-Class,4,8,-50.0%,—,1,-100%
#287,Acura ZDX,2,78,-97.4%,—,2,-100%
#288,Honda FCX,2,2,0.0%,2,1,100%
#289,Volkswagen Routan,—,1103,-100%,—,—,—
#290,Subaru Tribeca,—,732,-100%,—,9,-100%
#291,Mitsubishi Galant,—,122,-100%,—,—,—
#292,Volvo C30,—,66,-100%,—,—,—
#293,Mercedes-Benz CLK-Class,—,2,-100%,—,—,—
#294,Hyundai Veracruz,—,1,-100%,—,—,—
#295,Ford -Brand,2501855,2376841,5.3%,226746,209679,8.1%
#296,Chevrolet -Brand,2125347,2033442,4.5%,188794,184938,2.1%
#297,Toyota -Brand,2098545,2004373,4.7%,191457,171361,11.7%
#298,Honda -Brand,1409386,1373029,2.6%,134070,119472,12.2%
#299,Nissan -Brand,1351420,1269565,6.4%,124207,105311,17.9%
#300,Jeep -Brand,865028,692348,24.9%,89654,63274,41.7%
#301,Hyundai -Brand,761710,725718,5.0%,63508,64507,-1.5%
#302,Kia -Brand,625818,580234,7.9%,54241,45587,19.0%
#303,Subaru -Brand,582675,513693,13.4%,56274,49923,12.7%
#304,GMC -Brand,558697,501853,11.3%,59941,53038,13.0%
#305,Dodge -Brand,517153,574155,-9.9%,49256,46578,5.7%
#306,Ram -Brand,493807,469139,5.3%,50463,48628,3.8%
#307,Mercedes-Benz -Brand,372977,356136,4.7%,38249,37297,2.6%
#308,Volkswagen -Brand,349440,366970,-4.8%,30956,34058,-9.1%
#309,BMW -Brand,346023,339738,1.9%,34625,41526,-16.6%
#310,Lexus -Brand,344601,311389,10.7%,41380,39879,3.8%
#311,Chrysler Brand Total,324846,308785,5.2%,24292,30930,-21.5%
#312,Mazda -Brand,319183,305801,4.4%,29294,24808,18.1%
#313,Buick -Brand,223055,228963,-2.6%,20708,20357,1.7%
#314,Audi -Brand,202202,182011,11.1%,20399,19238,6.0%
#315,Acura -Brand,177165,167843,5.6%,16823,17809,-5.5%
#316,Cadillac -Brand,175267,170750,2.6%,20787,16150,28.7%
#317,Infiniti -Brand,133498,117330,13.8%,15093,12007,25.7%
#318,Lincoln -Brand,101227,94474,7.1%,10860,9690,12.1%
#319,Mitsubishi -Brand,95342,77643,22.8%,7887,6545,20.5%
#320,Land Rover -Brand,70582,51465,37.1%,8441,5754,46.7%
#321,Volvo -Brand,70047,56366,24.3%,9341,4920,89.9%
#322,Mini -Brand,58514,56112,4.3%,5009,6615,-24.3%
#323,Scion -Brand,56167,58009,-3.2%,5513,3817,44.4%
#324,Porsche -Brand,51756,47007,10.1%,3936,3275,20.2%
#325,Fiat -Brand,42410,46121,-8.0%,3805,3784,0.6%
#326,Tesla -Brand†,26608,16550,60.8%,3677,1900,93.5%
#327,Jaguar -Brand,14466,15773,-8.3%,1197,1683,-28.9%
#328,Maserati -Brand,11697,12943,-9.6%,1073,1412,-24.0%
#329,Bentley -Brand,2686,3003,-10.6%,581,412,41.0%
#330,Ferrari -Brand,2124,2110,0.7%,177,176,0.6%
#331,Lamborghini –Brand,1009,736,37.1%,79,129,-38.8%
#332,Rolls-Royce –Brand,840,805,4.3%,65,61,6.6%
—,Overall Market °,17473320,16519767,5.8%,1643584,1507568,9.0%
—,—,—,—,—,—,—,—
—,Pickup Trucks,2544589,2320219,9.7%,264740,237635,11.4%
—,Minivans,512604,556548,-7.9%,52052,48459,7.4%
—,Commercial Vans,423098,356814,18.6%,47858,38920,23.0%
—,"Passenger Cars, SUVs, Crossovers",13993029,13286186,5.3%,1278934,1182554,8.2%
—,—,—,—,—,—,—,—
