Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Kia Soul,5530,5816,5367,3565,6234,7439,7622,6968,6700,6318,4767,5446
Kia Sportage,6741,7934,5382,3964,7576,8021,7945,7672,7165,6989,7039,7915
Kia Stinger,743,1063,754,871,1393,1527,1427,1101,913,1013,847,904
Kia Telluride,4919,6754,5153,3087,2599,2864,4822,7588,8829,9687,8993,9824
Land Rover Defender,0,0,0,108,240,252,456,405,439,2429,1995,2776
Land Rover Discovery / LR4,821,730,760,234,520,546,421,374,405,337,277,386
Land Rover Discovery Sport,874,777,809,252,560,588,701,623,675,641,527,733
Land Rover Range Rover,1486,1321,1376,504,1120,1176,1052,935,1013,1349,1108,1542
Land Rover Range Rover Evoque,1389,1235,1287,378,840,882,666,592,642,877,720,1002
Land Rover Range Rover Sport,1938,1722,1794,684,1520,1596,1332,1184,1283,2361,1940,2699
Land Rover Range Rover Velar,1285,1142,1190,450,1000,1050,947,842,912,1349,1108,1542
Lexus ES,3037,3356,2854,1397,3105,3260,3868,4366,4541,4117,4290,5101
Lexus GS,227,224,173,122,272,285,269,330,262,200,111,85
Lexus GX,1804,1968,1350,1115,2478,2601,2167,2706,2388,2828,2975,4139
Lexus IS,741,1058,913,428,952,1000,886,1212,1531,1362,1228,2289
Lexus LC,98,86,56,0,70,74,89,107,131,164,188,230
Lexus LFA,0,2,0,0,0,0,0,0,1,0,0,0
Lexus LS,378,261,162,145,250,263,255,299,303,471,339,524
Lexus LX,340,291,215,174,387,407,317,422,323,408,407,821
Lexus NX,3826,4308,3175,2055,4566,4795,4726,4784,3694,5470,6129,8256
Lexus RC,289,299,169,140,312,328,341,372,389,406,347,416
Lexus RX,7377,7936,5534,2874,6386,6706,8800,10972,9666,9738,10556,14514
Lexus UX,1504,1350,984,632,1404,1475,1722,1521,1525,1527,1470,1848
Lincoln Aviator,1840,2383,1443,723,1606,1687,2145,1907,2066,2184,1942,3154
Lincoln Continental,508,657,398,182,405,425,455,404,438,501,378,505
Lincoln MKC,1842,2384,1444,983,2185,2294,2470,2196,2378,3053,2242,2755
Lincoln MKT,35,46,28,4,8,8,8,7,8,12,6,159
Lincoln MKX/Nautilus,1704,2206,1336,906,2014,2115,2024,1799,1949,2123,1874,2693
Lincoln MKZ,1131,1464,887,537,1194,1254,1285,1143,1238,791,583,1011
Lincoln Navigator,1243,1609,974,495,1100,1155,1275,1133,1227,1386,1362,2294
Mazda 2,0,0,0,0,0,0,0,0,0,0,0,3256
Mazda 3,2496,3759,1863,1492,3368,3250,3231,3175,2535,2570,2613,0
Mazda 6,1755,1730,1021,746,1477,1356,1199,1230,1451,1356,1196,1687
Mazda CX-3,1146,947,459,363,842,1000,959,860,436,473,413,437
Mazda CX-30,2368,3754,2242,1483,3583,3526,3787,3862,3188,3214,2649,4408
Mazda CX-5,12908,14462,7841,5220,12140,12501,11878,13745,13582,11890,12299,17954
Mazda CX-9,2552,2926,1741,1084,2421,2727,2335,2443,2183,2382,1972,2872
Mazda MX-5 Miata,396,807,497,552,1102,966,696,774,862,851,610,694
Mercedes-Benz A-Class,1201,1555,942,739,1642,1724,1378,1225,1327,1214,998,1388
Mercedes-Benz AMG GT,314,407,246,153,153,356,263,234,253,312,256,356
Mercedes-Benz C-Class,2227,2883,1746,0,2610,2741,2530,2249,2436,1922,1579,2196
Mercedes-Benz CLA-Class,1065,1379,835,1175,1172,1231,789,701,760,856,703,978
Mercedes-Benz E / CLS-Class,2293,2969,1798,1234,2743,2880,2271,2018,2187,2263,1859,2587
Mercedes-Benz G-Class,529,685,415,313,696,731,630,560,606,863,709,986
Mercedes-Benz GL/GLS-Class,2073,2683,1625,945,2101,2206,1857,1650,1788,1769,1453,2022
Mercedes-Benz GLA-Class,1614,2089,1266,509,1131,1188,3055,2715,2942,2982,2449,3408
Mercedes-Benz GLB,1566,2027,1228,1206,2680,2814,2521,2241,2428,1509,1240,1725
Mercedes-Benz GLC/GLK-Class,4254,5508,3336,1703,3784,3974,4007,3562,3859,6288,5165,7186
Mercedes-Benz GLE-Class,3833,4963,3006,1710,3800,3990,3807,3384,3666,5396,4432,6166
Mercedes-Benz Metris,732,948,574,630,1400,1470,1753,1558,1688,756,621,864
Mercedes-Benz S-Class,768,995,603,327,727,763,858,763,826,661,543,755
Mercedes-Benz SL-Class,130,169,102,71,158,165,195,173,187,146,120,167
Mercedes-Benz SLC-Class,136,176,107,90,200,210,255,227,246,160,131,183
Mercedes-Benz Sprinter,1710,2214,1341,1307,2904,3049,3506,3117,3377,5056,4153,5779
Mini Cooper,1157,1498,907,656,1457,1530,2119,1877,1998,1850,1520,2115
Mini Countryman,544,704,426,296,658,691,1054,933,993,1034,849,1181
Mitsubishi Eclipse Cross,2118,2036,1030,413,367,382,852,757,820,521,428,595
Mitsubishi Mirage,1511,1852,1283,1352,1202,1252,2047,1820,1972,1634,1342,1868
Mitsubishi Outlander,3891,5291,3627,972,864,900,2778,2470,2675,1236,1016,1413
Mitsubishi Outlander PHEV,95,151,101,101,90,94,332,295,320,130,107,148
Mitsubishi Outlander Sport,3011,6213,3353,1495,1329,1384,2707,2406,2606,1461,1200,1670
Nissan 370Z,182,236,143,135,300,315,178,159,172,46,37,52
Nissan Altima,15378,19909,12059,3906,8681,9115,9830,8738,9466,13800,11335,15771
Nissan Armada,2607,3375,2044,923,2051,2153,1531,1361,1474,715,587,817
Nissan Frontier,3339,4323,2618,1583,3518,3693,2529,2248,20407,3562,2926,4071
Nissan GT-R,19,24,15,13,28,29,40,35,38,21,17,24
Nissan Kicks,4537,5874,3558,1655,3677,3861,6830,6071,6577,5471,4494,6253
Nissan Leaf,636,823,499,189,420,441,672,597,647,1566,1280,1789
Nissan Maxima,1982,2566,1554,717,1673,1673,1392,1237,1340,1352,1110,1545
Nissan Murano,5094,6595,3994,2573,5717,6003,5219,4639,5026,4519,3712,5165
Nissan NV,1211,1568,950,520,1155,1213,1318,1172,1270,1643,1350,1878
Nissan NV200,1540,1993,1207,583,1295,1360,1674,1488,1612,1476,1212,1686
Nissan Pathfinder,5876,7608,4608,1595,3544,3722,3707,3295,3570,3729,3063,4262
Nissan Quest,0,0,0,0,0,0,0,0,0,0,0,0
Nissan Rogue,19396,25111,15210,8505,18900,19845,21192,18837,20407,20421,16774,23338
Nissan Sentra,7756,10041,6082,3583,7963,8361,9147,8131,8808,8357,6865,9551
Nissan Titan,1862,2410,1460,1164,2586,2715,2527,2246,2434,2374,1950,2713
Nissan Versa,3955,5120,3101,1380,3066,3220,3670,3262,3534,6060,4978,6926
Porsche 718,130,168,102,85,189,198,380,338,366,503,413,575
Porsche 911,841,1089,660,404,898,943,549,488,529,822,676,940
Porsche Cayenne,1241,1607,973,688,1529,1605,1581,1405,1523,2004,1646,2290
Porsche Macan,1227,1588,962,714,1586,1665,1917,1704,1846,1830,1503,2091
Porsche Panamera,385,498,302,157,348,366,373,332,359,253,208,290
Porsche Taycan,72,83,56,147,327,344,652,579,627,512,420,585
Ram Pickup,41836,54163,32807,21141,46979,49328,54756,48672,52728,54403,44688,62175
Ram ProMaster,3113,4030,2441,1424,3165,3323,5610,4986,5402,5755,4727,6577
Ram ProMaster City,681,881,534,418,929,975,1059,941,1020,1002,823,1145
Subaru Ascent,5606,5982,4036,3954,5740,6079,6075,6619,5744,5865,5231,6692
Subaru BRZ,112,166,114,105,227,238,266,267,251,221,129,171
Subaru CrossTrek,8131,8287,5098,4489,9486,10241,8913,10329,11950,14994,12841,14957
Subaru Forester,13209,16458,9413,9431,17859,19490,15313,17261,15648,14697,12211,16006
Subaru Impreza,3978,3916,2395,1857,3085,3389,4259,4654,4622,4329,3174,3970
Subaru Impreza WRX,1399,1787,1354,1368,2255,2170,1845,1218,2040,2060,1714,1968
Subaru Legacy,2471,2434,1630,1358,1954,2054,2629,2681,2825,2490,2192,2522
Subaru Outback,11379,12665,8571,8058,11382,10250,12158,14856,17023,16755,12921,17272
Tesla Model 3,19000,17500,8000,5400,12000,12600,31208,27740,30052,14506,11916,16578
Tesla Model S,1900,1700,1000,576,1280,1344,2630,2338,2532,1687,1386,1928
Tesla Model X,1450,1250,1000,648,1440,1512,2735,2431,2634,3711,3048,4241
Tesla Model Y,0,0,0,0,0,0,12273,10909,11818,1687,1386,1928
Toyota 4Runner,9342,10912,7818,5284,11742,12330,9310,9860,10229,12940,12416,16869
Toyota 86 / FR-S,222,280,202,116,258,271,231,236,152,172,131,205
Toyota Avalon,1510,1550,1020,627,1393,1463,1762,1813,1833,1857,1680,1913
Toyota C-HR,2961,4439,2972,1989,4421,4642,3677,3897,4606,3358,2666,3308
Toyota Camry,24824,29245,23119,8768,19484,20459,22792,27892,28362,29666,29373,30364
Toyota Corolla,23477,26590,19147,7270,16155,16963,17564,19154,19894,21569,23987,25409
Toyota Highlander,17009,20174,10707,5613,12472,13096,18128,21795,22307,22262,21935,26778
Toyota Land Cruiser,215,226,173,114,254,267,209,161,141,412,368,606
Toyota Mirai,57,59,31,11,25,26,27,64,41,27,111,20
Toyota Prius Family,4089,4532,2862,1620,3600,3780,4391,3905,3787,3633,3248,4078
Toyota RAV4,33130,39626,24875,15431,34292,36006,36323,39239,43652,40717,40250,46846
Toyota Sequoia,505,571,332,202,448,470,666,769,770,831,752,1048
Toyota Sienna,3934,4778,3164,960,2133,2239,3462,3987,4124,2812,3779,7513
Toyota Supra,342,398,273,231,512,538,515,500,489,677,708,704
Toyota Tacoma,17112,20609,15915,9191,20425,21446,17412,20579,20929,23774,22456,28957
Toyota Tundra,6655,8059,6944,4900,10889,11433,9066,10130,8738,9999,10266,12124
Toyota Venza,0,0,0,0,0,0,0,43,1625,3510,3400,4495
Toyota Yaris,860,965,591,236,525,551,509,726,691,442,199,141
Volkswagen Arteon,256,331,201,143,319,335,370,329,357,324,266,371
Volkswagen Atlas,5004,6479,3924,2938,6528,6855,8482,7539,8168,6870,5644,7852
Volkswagen Atlas Sport,0,0,0,0,0,0,0,0,0,3737,3070,4271
Volkswagen Beetle,523,677,410,506,1124,1181,0,0,0,0,0,0
Volkswagen CC,6,7,4,0,0,0,0,0,0,0,0,0
Volkswagen Golf,2501,3238,1961,827,1838,1930,1751,1557,1687,1564,1285,1788
Volkswagen Jetta,6945,8992,5446,2875,6388,6708,7054,6270,6792,8495,6978,9709
Volkswagen Passat,1943,2515,1523,742,1648,1730,2135,1898,2056,2285,1877,2612
Volkswagen Tiguan,7203,9325,5648,4557,10127,10634,9842,8749,9478,8476,6962,9686
Volkswagen Touareg,1,1,1,0,0,0,0,0,0,0,0,0
Volvo 40 Series,0,0,1099,0,0,0,0,0,0,0,0,0
Volvo 60-Series,1021,1385,0,506,1241,1486,1546,1790,2341,1213,1736,1464
Volvo 90-Series,102,136,116,91,178,263,332,676,718,146,239,198
Volvo XC40,1303,1615,1052,930,2305,2315,2216,1933,1911,2504,2344,3350
Volvo XC60,1737,2276,1556,1053,2723,2867,2637,2981,2632,3571,3756,4289
Volvo XC90,1994,2429,1664,1286,3072,3454,2966,2998,2672,3257,3516,4943
,,,,,,,,,,,,
,"∑ = 1,157,415","∑ = 1,434,716","∑ = 912,800","∑ = 563,122","∑ = 1,181,756","∑ = 1,214,706","∑ = 1,336,267","∑ = 1,298,489","∑ = 1,370,243","∑ = 1,398,735","∑ = 1,199,580","∑ = 1,597,958"
