Release,Car,Stars,Vehicle,Vehicle Original,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star
Dumb and Dumber To,2010 kia forte,1,kia forte,kia forte,35,"$84,966,865",Universal Pictures,2014,0,1,1,35,1
RoboCop,2011 kia optima,3,kia optima,kia optima,56,"$58,607,007",Sony Pictures Entertainment (SPE),2014,1,3,4,56,3
22 Jump Street,2012 kia rio,1,kia rio,kia rio,12,"$191,719,337",Sony Pictures Entertainment (SPE),2014,0,2,2,12,1
Transformers: Age of Extinction,2003 kia sorento,1,kia sorento,kia sorento,5,"$245,439,076",Paramount Pictures,2014,0,1,1,5,1
22 Jump Street,2010 kia soul,1,kia soul,kia soul,12,"$191,719,337",Sony Pictures Entertainment (SPE),2014,0,2,2,12,1
Need for Speed,2011 kia sportage,1,kia sportage,kia sportage,76,"$43,577,636",Walt Disney Studios Motion Pictures,2014,0,1,1,76,1
Jack Ryan: Shadow Recruit,land-rover defender 110 station wagon,3,land-rover defender,land rover defender,66,"$50,577,412",Paramount Pictures,2014,2,2,4,66,3
Chef,land-rover discovery series i,1,land-rover discovery ,land rover discovery ,91,"$31,424,003",Open Road Films (II),2014,0,1,1,91,1
Horrible Bosses 2,land-rover lr2,1,land-rover lr2,land rover lr2,63,"$51,745,425",Warner Bros.,2014,0,1,1,63,1
The Wolf of Wall Street,1989 land-rover range rover series i,2,land-rover range rover,land rover range rover,42,"$75,451,759",Paramount Pictures,2014,0,7,7,42,2
The Equalizer,2010 land-rover range rover sport,1,land-rover range rover sport,land rover range rover sport,30,"$100,915,604",Sony Pictures Entertainment (SPE),2014,0,4,4,30,1
Horrible Bosses 2,2013 lexus ct 200h,1,lexus ct,lexus ct,63,"$51,745,425",Warner Bros.,2014,0,1,1,63,1
Captain America: The Winter Soldier,2000 lexus es 300,1,lexus es,lexus es/es350,3,"$259,766,572",Walt Disney Studios Motion Pictures,2014,0,3,3,3,1
Captain America: The Winter Soldier,2006 lexus gs,1,lexus gs,lexus gs,3,"$259,766,572",Walt Disney Studios Motion Pictures,2014,0,2,2,3,1
John Wick,2009 lexus is,1,lexus is,lexus is,79,"$42,820,432",Lionsgate,2014,0,1,1,79,1
Jack Ryan: Shadow Recruit,2001 lexus ls 430,2,lexus ls,lexus ls,66,"$50,577,412",Paramount Pictures,2014,0,3,3,66,2
St. Vincent,2008 lexus rx 350,2,lexus rx,lexus rx,78,"$42,845,277",The Weinstein Company,2014,0,4,4,78,2
God's Not Dead,2003 lincoln aviator,1,lincoln aviator,lincoln aviator,52,"$60,755,732",Freestyle Releasing,2014,0,1,1,52,1
Saving Mr. Banks,1965 lincoln continental executive limousine,3,lincoln continental,lincoln continental,82,"$39,214,111",Walt Disney Studios Motion Pictures,2014,1,7,8,82,3
The Fault in Our Stars,2013 lincoln mkt funeral coach,1,lincoln mkt,lincoln mkt,25,"$124,872,350",Twentieth Century Fox,2014,0,1,1,25,1
The Equalizer,2010 lincoln mkz,1,lincoln mkz,lincoln mkz,30,"$100,915,604",Sony Pictures Entertainment (SPE),2014,0,1,1,30,1
The Other Woman,2003 lincoln town car,3,lincoln town car,lincoln town car,38,"$83,911,193",Twentieth Century Fox,2014,2,26,28,38,3
The Purge: Anarchy,2008 maserati granturismo,1,maserati granturismo,maserati granturismo,45,"$71,962,800",Universal Pictures,2014,0,2,2,45,1
Need for Speed,2009 maserati quattroporte v,2,maserati quattroporte,maserati quattroporte,76,"$43,577,636",Walt Disney Studios Motion Pictures,2014,0,2,2,76,2
Ride Along,2010 mazda 3,1,mazda 3,mazda 3,21,"$134,938,200",Universal Pictures,2014,0,4,4,21,1
Chef,2012 mazda 5,1,mazda 5,mazda 5,91,"$31,424,003",Open Road Films (II),2014,0,1,1,91,1
Transformers: Age of Extinction,2000 mazda 626,1,mazda 6,mazda 6,5,"$245,439,076",Paramount Pictures,2014,0,3,3,5,1
Transformers: Age of Extinction,mazda b-series,1,mazda b-series,mazda b-series,5,"$245,439,076",Paramount Pictures,2014,0,2,2,5,1
Think Like a Man Too,2013 mazda cx-5,1,mazda cx-5,mazda cx-5,48,"$65,182,182",Screen Gems,2014,0,1,1,48,1
RoboCop,2010 mazda cx-7,1,mazda cx-7,mazda cx-7,56,"$58,607,007",Sony Pictures Entertainment (SPE),2014,0,1,1,56,1
22 Jump Street,2007 mazda cx-9,1,mazda cx-9,mazda cx-9,12,"$191,719,337",Sony Pictures Entertainment (SPE),2014,0,1,1,12,1
The Expendables 3,mercedes-benz atego,3,mercedes-benz a,mercedes-benz a-class,81,"$39,322,544",Lionsgate,2014,1,2,3,81,3
Transformers: Age of Extinction,mercedes-benz b 200 turbo [w245],1,mercedes-benz b,mercedes-benz b-class,5,"$245,439,076",Paramount Pictures,2014,0,3,3,5,1
Lucy,mercedes-benz c-klasse [w203],2,mercedes-benz c,mercedes-benz c-class,23,"$126,663,600",Universal Pictures,2014,0,13,13,23,2
John Wick,2014 mercedes-benz cla 250 [c117],1,mercedes-benz cla,mercedes-benz cla-class,79,"$42,820,432",Lionsgate,2014,0,1,1,79,1
The Other Woman,2004 mercedes-benz clk 320 [a209],2,mercedes-benz clk,mercedes-benz clk-class,38,"$83,911,193",Twentieth Century Fox,2014,0,3,3,38,2
Ride Along,2011 mercedes-benz cls 550 [c218],1,mercedes-benz cls,mercedes-benz cls-class,21,"$134,938,200",Universal Pictures,2014,0,3,3,21,1
The Fault in Our Stars,2012 mercedes-benz e 200 cdi [w212],2,mercedes-benz e,mercedes-benz e-class,25,"$124,872,350",Twentieth Century Fox,2014,0,11,11,25,2
Let's Be Cops,2003 mercedes-benz g 500 [w463],3,mercedes-benz g,mercedes-benz g-class,40,"$82,390,774",Twentieth Century Fox,2014,1,2,3,40,3
Oculus,2013 mercedes-benz glk [x204],3,mercedes-benz gl,mercedes-benz gl-class,98,"$27,695,246",Relativity Media,2014,1,0,1,98,3
Jack Ryan: Shadow Recruit,mercedes-benz ml [w163],2,mercedes-benz m,mercedes-benz m-class,66,"$50,577,412",Paramount Pictures,2014,0,9,9,66,2
The Other Woman,2011 mercedes-benz s 63 amg [w221],3,mercedes-benz s,mercedes-benz s-class,38,"$83,911,193",Twentieth Century Fox,2014,5,13,18,38,3
The Wolf of Wall Street,1999 mercedes-benz sl [r129],2,mercedes-benz sl,mercedes-benz sl-class,42,"$75,451,759",Paramount Pictures,2014,0,7,7,42,2
The Equalizer,2010 mercedes-benz sls amg [c197],2,mercedes-benz sls amg,mercedes-benz sls amg,30,"$100,915,604",Sony Pictures Entertainment (SPE),2014,0,1,1,30,2
Night at the Museum: Secret of the Tomb,2014 mercedes-benz sprinter [w906],3,mercedes-benz sprinter,mercedes-benz sprinter,46,"$69,354,582",Twentieth Century Fox,2014,2,3,5,46,3
3 Days to Kill,2004 mercedes-benz vito [w639],1,mercedes-benz vito,mercedes-benz metris/vito,93,"$30,697,999",Relativity Media,2014,0,1,1,93,1
This Is Where I Leave You,1998 mercury grand marquis,2,mercury grand marquis,mercury grand marquis,88,"$34,296,320",Warner Bros.,2014,0,6,6,88,2
Transformers: Age of Extinction,1990 rover mini cooper mkv [ado20],3,mini cooper,mini cooper,5,"$245,439,076",Paramount Pictures,2014,1,5,6,5,3
The Fault in Our Stars,2007 mitsubishi eclipse spyder 4g,2,mitsubishi eclipse,mitsubishi eclipse/spyder,25,"$124,872,350",Twentieth Century Fox,2014,0,2,2,25,2
Chef,2004 mitsubishi endeavor,1,mitsubishi endeavor,mitsubishi endeavor,91,"$31,424,003",Open Road Films (II),2014,0,2,2,91,1
Captain America: The Winter Soldier,2002 mitsubishi lancer,2,mitsubishi lancer,mitsubishi lancer,3,"$259,766,572",Walt Disney Studios Motion Pictures,2014,0,7,7,3,2
22 Jump Street,mitsubishi mirage,1,mitsubishi mirage,mitsubishi mirage,12,"$191,719,337",Sony Pictures Entertainment (SPE),2014,0,1,1,12,1
Godzilla,2007 mitsubishi outlander,1,mitsubishi outlander,mitsubishi outlander,11,"$200,676,069",Warner Bros.,2014,0,1,1,11,1
Think Like a Man Too,2003 nissan 350z,1,nissan 350z,nissan 370z/350z,48,"$65,182,182",Screen Gems,2014,0,1,1,48,1
Captain America: The Winter Soldier,2010 nissan 370z roadster,1,nissan 370z,nissan 370z/350z,3,"$259,766,572",Walt Disney Studios Motion Pictures,2014,0,1,1,3,1
God's Not Dead,2013 nissan altima,2,nissan altima,nissan altima,52,"$60,755,732",Freestyle Releasing,2014,0,12,12,52,2
About Last Night,2001 nissan frontier,1,nissan frontier,nissan frontier,70,"$48,637,684",Screen Gems,2014,0,1,1,70,1
RoboCop,2011 nissan leaf,1,nissan leaf,nissan leaf,56,"$58,607,007",Sony Pictures Entertainment (SPE),2014,0,1,1,56,1
The Amazing Spider-Man 2,2000 nissan maxima,1,nissan maxima,nissan maxima,10,"$202,853,933",Sony Pictures Entertainment (SPE),2014,0,4,4,10,1
Horrible Bosses 2,2012 nissan nv 2500 hd,3,nissan nv,nissan nv,63,"$51,745,425",Warner Bros.,2014,1,1,2,63,3
The Amazing Spider-Man 2,2014 nissan nv200 taxi,1,nissan nv200,nissan nv200,10,"$202,853,933",Sony Pictures Entertainment (SPE),2014,0,2,2,10,1
Interstellar,1987 nissan pathfinder,1,nissan pathfinder,nissan pathfinder,15,"$179,387,895",Paramount Pictures,2014,0,2,2,15,1
Into the Storm,2011 nissan quest,1,nissan quest,nissan quest,71,"$47,602,194",Warner Bros.,2014,0,1,1,71,1
Lucy,2003 nissan sentra m1,2,nissan sentra,nissan sentra,23,"$126,663,600",Universal Pictures,2014,0,8,8,23,2
Horrible Bosses 2,2014 nissan versa note,1,nissan versa,nissan versa,63,"$51,745,425",Warner Bros.,2014,0,3,3,63,1
God's Not Dead,2005 nissan xterra,1,nissan xterra,nissan xterra,52,"$60,755,732",Freestyle Releasing,2014,0,1,1,52,1
Transformers: Age of Extinction,2009 pontiac g6,1,pontiac g6,pontiac g6,5,"$245,439,076",Paramount Pictures,2014,0,1,1,5,1
Captain America: The Winter Soldier,2009 pontiac g8,1,pontiac g8,pontiac g8,3,"$259,766,572",Walt Disney Studios Motion Pictures,2014,0,1,1,3,1
