Release,Car,Stars,Vehicle,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star
The Expendables,1955 ford f-100,3,ford f-,25,"$103,068,524",Lionsgate,2010,9,40,49,25,3
The Expendables,ford f-1000,3,ford f-,25,"$103,068,524",Lionsgate,2010,9,40,49,25,3
Harry Potter and the Deathly Hallows: Part 1,2000 ford fiesta mkiv,1,ford fiesta,7,"$280,230,127",Warner Bros.,2010,0,3,3,7,1
Harry Potter and the Deathly Hallows: Part 1,ford fiesta mkvi,1,ford fiesta,7,"$280,230,127",Warner Bros.,2010,0,3,3,7,1
Kick-Ass,2009 ford flex,2,ford flex,70,"$48,071,303",Lionsgate,2010,0,1,1,70,2
Vampires Suck,2010 ford focus,2,ford focus,88,"$36,661,504",Twentieth Century Fox,2010,0,14,14,88,2
Date Night,2010 ford fusion,2,ford fusion,28,"$98,711,404",Twentieth Century Fox,2010,0,7,7,28,2
Kick-Ass,2009 ford mustang,3,ford mustang,70,"$48,071,303",Lionsgate,2010,1,14,15,70,3
Edge of Darkness,1995 ford ranger,1,ford ranger,76,"$43,313,890",Warner Bros.,2010,0,2,2,76,1
Charlie St. Cloud,1996 ford taurus,4,ford taurus,97,"$31,162,545",Universal Pictures,2010,1,18,19,97,4
The Town,2008 ford taurus x,1,ford taurus x,32,"$92,155,037",Warner Bros.,2010,0,1,1,32,1
Yogi Bear,2007 ford transit mkv,1,ford transit,61,"$57,418,550",Warner Bros.,2010,0,3,3,61,1
Valentine's Day,2010 ford transit connect,3,ford transit connect,22,"$110,485,654",Warner Bros.,2010,1,0,1,22,3
Takers,2006 gmc canyon,1,gmc canyon,60,"$57,744,720",Screen Gems,2010,0,1,1,60,1
Salt,2003 gmc savana,2,gmc savana,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,6,6,19,2
Yogi Bear,2007 gmc sierra,1,gmc sierra,61,"$57,418,550",Warner Bros.,2010,0,1,1,61,1
Hot Tub Time Machine,2007 gmc yukon denali,3,gmc yukon,67,"$50,287,556",Metro-Goldwyn-Mayer (MGM),2010,1,6,7,67,3
The Other Guys,1996 honda accord,1,honda accord,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,23,23,18,1
The Other Guys,2006 honda accord,1,honda accord,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,23,23,18,1
The Other Guys,1996 honda accord coupé,1,honda accord,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,23,23,18,1
The A-Team,1986 honda civic,2,honda civic,42,"$77,222,099",Twentieth Century Fox,2010,0,21,21,42,2
Tooth Fairy,1998 honda cr-v,3,honda cr-v,56,"$60,022,256",Twentieth Century Fox,2010,1,4,5,56,3
The Bounty Hunter,2007 honda fit,1,honda fit,47,"$67,061,228",Sony Pictures Entertainment (SPE),2010,0,3,3,47,1
The Town,2002 honda odyssey,1,honda odyssey,32,"$92,155,037",Warner Bros.,2010,0,3,3,32,1
Wall Street: Money Never Sleeps,2003 honda pilot,1,honda pilot,65,"$52,474,616",Twentieth Century Fox,2010,0,2,2,65,1
Jackass 3D,2005 hummer h2 sut,1,hummer h2,21,"$117,052,883",Paramount Pictures,2010,0,2,2,21,1
The Town,2009 hyundai accent,1,hyundai accent,32,"$92,155,037",Warner Bros.,2010,0,3,3,32,1
Salt,2001 hyundai elantra,1,hyundai elantra,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,7,7,19,1
Inception,2009 hyundai genesis,3,hyundai genesis,6,"$292,558,188",Warner Bros.,2010,1,0,1,6,3
Hereafter,2006 hyundai sonata,2,hyundai sonata,93,"$32,684,455",Warner Bros.,2010,0,10,10,93,2
The Other Guys,hyundai tucson,1,hyundai tucson,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,4,4,18,1
Edge of Darkness,2008 infiniti ex35,1,infiniti ex,76,"$43,313,890",Warner Bros.,2010,0,1,1,76,1
Salt,2003 infiniti fx,1,infiniti fx,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,1,1,19,1
Salt,2005 infiniti g35,1,infiniti g,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,6,6,19,1
Marmaduke,2009 jaguar xf [x250],1,jaguar xf,91,"$33,644,788",Twentieth Century Fox,2010,0,1,1,91,1
The Karate Kid,jaguar xj [x350],1,jaguar xj,11,"$176,591,618",Sony Pictures Entertainment (SPE),2010,0,6,6,11,1
A Nightmare on Elm Street,1997 jeep cherokee,3,jeep cherokee,50,"$63,075,011",Warner Bros.,2010,1,2,3,50,3
Salt,2006 jeep commander,1,jeep commander,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,1,1,19,1
The Town,1993 jeep grand cherokee,3,jeep grand cherokee,32,"$92,155,037",Warner Bros.,2010,1,12,13,32,3
Dear John,2002 jeep liberty,2,jeep liberty,40,"$80,014,842",Screen Gems,2010,0,4,4,40,2
The Twilight Saga: Eclipse,2007 jeep wrangler unlimited,2,jeep wrangler,5,"$300,531,751",Summit Entertainment,2010,0,9,9,5,2
Salt,2007 kia amanti,2,kia amanti,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,1,1,19,2
Death at a Funeral,2003 kia optima,1,kia optima,77,"$42,739,347",Screen Gems,2010,0,1,1,77,1
Date Night,2006 kia rio,1,kia rio,28,"$98,711,404",Twentieth Century Fox,2010,0,4,4,28,1
The Expendables,2006 kia sedona,1,kia sedona,25,"$103,068,524",Lionsgate,2010,0,1,1,25,1
Due Date,2004 kia spectra,1,kia spectra,26,"$98,935,039",Warner Bros.,2010,0,4,4,26,1
The Expendables,land-rover defender 130 crew cab,3,land-rover defender,25,"$103,068,524",Lionsgate,2010,2,2,4,25,3
The Other Guys,2006 land-rover range rover series iii,3,land-rover range rover,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,4,5,9,18,3
Inception,2005 land-rover range rover sport,2,land-rover range rover sport,6,"$292,558,188",Warner Bros.,2010,0,4,4,6,2
The Other Guys,2000 lexus es 300,1,lexus es,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,8,8,18,1
Edge of Darkness,2000 lexus gs,1,lexus gs,76,"$43,313,890",Warner Bros.,2010,0,2,2,76,1
Edge of Darkness,2001 lexus is 300,1,lexus is,76,"$43,313,890",Warner Bros.,2010,0,1,1,76,1
A Nightmare on Elm Street,2004 lexus ls 430,2,lexus ls,50,"$63,075,011",Warner Bros.,2010,0,1,1,50,2
Easy A,lexus rx,1,lexus rx,59,"$58,401,464",Screen Gems,2010,0,2,2,59,1
Secretariat,1963 lincoln continental,2,lincoln continental,58,"$58,876,848",Walt Disney Studios Motion Pictures,2010,0,4,4,58,2
The Other Guys,2009 lincoln mks,1,lincoln mks,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,1,1,18,1
Edge of Darkness,2007 lincoln mkx,1,lincoln mkx,76,"$43,313,890",Warner Bros.,2010,0,1,1,76,1
The Other Guys,2007 lincoln mkz,1,lincoln mkz,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,1,1,18,1
Get Him to the Greek,2007 lincoln navigator l,3,lincoln navigator,53,"$60,974,475",Universal Pictures,2010,1,5,6,53,3
Alvin and the Chipmunks: The Squeakquel,2003 lincoln town car stretched limousine,3,lincoln town car,27,"$98,887,330",Twentieth Century Fox,2010,3,27,30,27,3
Iron Man 2,2008 maserati granturismo,1,maserati granturismo,4,"$312,433,331",Paramount Pictures,2010,0,1,1,4,1
The American,1980 maserati quattroporte iii,1,maserati quattroporte,89,"$35,606,376",Focus Features,2010,0,1,1,89,1
The Other Guys,2004 mazda 3,1,mazda 3,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,5,5,18,1
The Other Guys,2008 mazda 5,1,mazda 5,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,1,1,18,1
The Other Guys,2009 mazda 6,1,mazda 6,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,6,6,18,1
The Other Guys,1998 mazda 626,1,mazda 6,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,6,6,18,1
The Bounty Hunter,2007 mazda cx-9,1,mazda cx-9,47,"$67,061,228",Sony Pictures Entertainment (SPE),2010,0,1,1,47,1
Paranormal Activity 2,2007 mazda mx-5 miata,2,mazda mx-5 miata,36,"$84,612,342",Paramount Pictures,2010,0,1,1,36,2
Burlesque,mazda rx-8,1,mazda rx-8,87,"$37,403,047",Screen Gems,2010,0,1,1,87,1
Inception,2005 mercedes-benz a-klasse [w169],1,mercedes-benz a,6,"$292,558,188",Warner Bros.,2010,0,1,1,6,1
Harry Potter and the Deathly Hallows: Part 1,mercedes-benz c-klasse [w204],1,mercedes-benz c,7,"$280,230,127",Warner Bros.,2010,0,8,8,7,1
Valentine's Day,2007 mercedes-benz cl 550 [c216],1,mercedes-benz cl,22,"$110,485,654",Warner Bros.,2010,0,1,1,22,1
Harry Potter and the Deathly Hallows: Part 1,mercedes-benz clk [a208],1,mercedes-benz clk,7,"$280,230,127",Warner Bros.,2010,0,2,2,7,1
The A-Team,2006 mercedes-benz cls 63 amg [c219],2,mercedes-benz cls,42,"$77,222,099",Twentieth Century Fox,2010,0,4,4,42,2
The A-Team,2010 mercedes-benz e-klasse [w212],3,mercedes-benz e,42,"$77,222,099",Twentieth Century Fox,2010,1,8,9,42,3
Sex and the City 2,2009 mercedes-benz g-klasse [w463],2,mercedes-benz g,29,"$95,347,692",Warner Bros.,2010,0,2,2,29,2
Inception,2007 mercedes-benz gl [x164],3,mercedes-benz gl,6,"$292,558,188",Warner Bros.,2010,2,0,2,6,3
The A-Team,1999 mercedes-benz ml 320 [w163],2,mercedes-benz m,42,"$77,222,099",Twentieth Century Fox,2010,0,3,3,42,2
The Bounty Hunter,2007 mercedes-benz s 550 [w221],3,mercedes-benz s,47,"$67,061,228",Sony Pictures Entertainment (SPE),2010,2,15,17,47,3
The Sorcerer's Apprentice,2008 mercedes-benz slr mclaren roadster [r199],3,mercedes-benz sl,49,"$63,150,991",Walt Disney Studios Motion Pictures,2010,1,4,5,49,3
Life as We Know It,1998 mercedes-benz slk 230 [r170],1,mercedes-benz slk,64,"$52,727,343",Warner Bros.,2010,0,1,1,64,1
The Tourist,1995 mercedes-benz sprinter [t1n],3,mercedes-benz sprinter,69,"$49,966,965",Sony Pictures Entertainment (SPE),2010,1,2,3,69,3
A Nightmare on Elm Street,1983 mercury grand marquis,2,mercury grand marquis,50,"$63,075,011",Warner Bros.,2010,0,12,12,50,2
The Town,2002 mercury mountaineer,1,mercury mountaineer,32,"$92,155,037",Warner Bros.,2010,0,1,1,32,1
Dinner for Schmucks,2000 mercury sable,2,mercury sable,44,"$73,026,337",DreamWorks,2010,0,4,4,44,2
The Bounty Hunter,2007 mini cooper,3,mini cooper,47,"$67,061,228",Sony Pictures Entertainment (SPE),2010,2,9,11,47,3
Wall Street: Money Never Sleeps,2007 mini cooper clubman,1,mini cooper clubman,65,"$52,474,616",Twentieth Century Fox,2010,0,1,1,65,1
Get Him to the Greek,mitsubishi eclipse 2g,2,mitsubishi eclipse,53,"$60,974,475",Universal Pictures,2010,0,5,5,53,2
Salt,2002 mitsubishi galant,1,mitsubishi galant,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,3,3,19,1
Hereafter,1988 mitsubishi lancer,1,mitsubishi lancer,93,"$32,684,455",Warner Bros.,2010,0,1,1,93,1
Wall Street: Money Never Sleeps,2003 mitsubishi outlander,1,mitsubishi outlander,65,"$52,474,616",Twentieth Century Fox,2010,0,1,1,65,1
Vampires Suck,2007 nissan altima,2,nissan altima,88,"$36,661,504",Twentieth Century Fox,2010,0,13,13,88,2
Easy A,2001 nissan frontier,2,nissan frontier,59,"$58,401,464",Screen Gems,2010,0,1,1,59,2
The Other Guys,1997 nissan maxima,1,nissan maxima,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,4,4,18,1
The Town,2009 nissan murano,1,nissan murano,32,"$92,155,037",Warner Bros.,2010,0,3,3,32,1
Step Up 3D,2008 nissan pathfinder,1,nissan pathfinder,78,"$42,400,223",Walt Disney Studios Motion Pictures,2010,0,1,1,78,1
Percy Jackson & the Olympians: The Lightning Thief,2008 nissan rogue,1,nissan rogue,35,"$88,768,303",Twentieth Century Fox,2010,0,1,1,35,1
The Town,2007 nissan sentra,2,nissan sentra,32,"$92,155,037",Warner Bros.,2010,0,5,5,32,2
Jackass 3D,2006 nissan titan,1,nissan titan,21,"$117,052,883",Paramount Pictures,2010,0,1,1,21,1
The Other Guys,2009 nissan versa,1,nissan versa,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,2,2,18,1
The Expendables,2001 nissan xterra,3,nissan xterra,25,"$103,068,524",Lionsgate,2010,1,1,2,25,3
Salt,2008 pontiac g5,1,pontiac g5,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,2,2,19,1
Due Date,2006 pontiac g6,2,pontiac g6,26,"$98,935,039",Warner Bros.,2010,0,7,7,26,2
Takers,2008 pontiac g8,1,pontiac g8,60,"$57,744,720",Screen Gems,2010,0,1,1,60,1
Salt,1997 pontiac grand prix,1,pontiac grand prix,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,3,3,19,1
Takers,2006 pontiac solstice,2,pontiac solstice,60,"$57,744,720",Screen Gems,2010,0,2,2,60,2
The Town,2009 pontiac vibe,1,pontiac vibe,32,"$92,155,037",Warner Bros.,2010,0,2,2,32,1
Love & Other Drugs,porsche 911 carrera cabrio [993],4,porsche 911,98,"$31,099,481",Twentieth Century Fox,2010,4,3,7,98,4
Dinner for Schmucks,2005 porsche boxster [987],4,porsche boxster,44,"$73,026,337",DreamWorks,2010,2,1,3,44,4
Death at a Funeral,1999 saab 9-3,3,saab 9-3,77,"$42,739,347",Screen Gems,2010,1,5,6,77,3
Salt,2002 saab 9-5 sportwagon,1,saab 9-5,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,1,1,19,1
Takers,2008 saturn astra,1,saturn astra,60,"$57,744,720",Screen Gems,2010,0,2,2,60,1
Edge of Darkness,2009 saturn aura,1,saturn aura,76,"$43,313,890",Warner Bros.,2010,0,1,1,76,1
Edge of Darkness,2007 saturn outlook,1,saturn outlook,76,"$43,313,890",Warner Bros.,2010,0,1,1,76,1
Takers,2008 saturn vue hybrid,1,saturn vue,60,"$57,744,720",Screen Gems,2010,0,1,1,60,1
Step Up 3D,2005 scion tc,1,scion tc,78,"$42,400,223",Walt Disney Studios Motion Pictures,2010,0,1,1,78,1
Dinner for Schmucks,2005 scion xb,1,scion xb,44,"$73,026,337",DreamWorks,2010,0,2,2,44,1
Grown Ups,2008 smart fortwo,2,smart fortwo,13,"$162,001,186",Sony Pictures Entertainment (SPE),2010,0,5,5,13,2
Easy A,2001 subaru forester,2,subaru forester,59,"$58,401,464",Screen Gems,2010,0,6,6,59,2
Due Date,2010 subaru impreza,4,subaru impreza,26,"$98,935,039",Warner Bros.,2010,1,4,5,26,4
The Town,1996 subaru legacy,2,subaru legacy,32,"$92,155,037",Warner Bros.,2010,0,4,4,32,2
The Other Guys,2000 subaru outback sus,1,subaru outback,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,4,4,18,1
Step Up 3D,2008 subaru tribeca,1,subaru tribeca,78,"$42,400,223",Walt Disney Studios Motion Pictures,2010,0,1,1,78,1
Get Him to the Greek,2006 suzuki forenza,1,suzuki forenza,53,"$60,974,475",Universal Pictures,2010,0,1,1,53,1
Salt,2007 suzuki xl7,1,suzuki xl7,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,1,1,19,1
Daybreakers,1993 toyota 4runner,2,toyota 4runner,100,"$30,101,577",Lionsgate,2010,0,4,4,100,2
The Other Guys,2005 toyota avalon,1,toyota avalon,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,3,3,18,1
Iron Man 2,2004 toyota camry solara,1,toyota camry,4,"$312,433,331",Paramount Pictures,2010,0,24,24,4,1
Green Zone,1987 toyota corolla,4,toyota corolla,90,"$35,053,660",Universal Pictures,2010,1,17,18,90,4
Crazy Heart,2007 toyota fj cruiser,1,toyota fj cruiser,84,"$38,983,106",Fox Searchlight Pictures,2010,0,1,1,84,1
It's Complicated,2008 toyota highlander hybrid,2,toyota highlander,45,"$72,359,500",Universal Pictures,2010,0,6,6,45,2
Eat Pray Love,1971 toyota land cruiser,3,toyota land cruiser,38,"$80,574,010",Sony Pictures Entertainment (SPE),2010,1,2,3,38,3
The Other Guys,2005 toyota matrix,1,toyota matrix,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,2,2,18,1
The Other Guys,2006 toyota prius ii,4,toyota prius,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,5,15,20,18,4
Get Him to the Greek,1996 toyota rav4,3,toyota rav4,53,"$60,974,475",Universal Pictures,2010,1,9,10,53,3
Edge of Darkness,2005 toyota sequoia,1,toyota sequoia,76,"$43,313,890",Warner Bros.,2010,0,1,1,76,1
The Bounty Hunter,2004 toyota sienna,2,toyota sienna,47,"$67,061,228",Sony Pictures Entertainment (SPE),2010,0,11,11,47,2
Takers,2005 toyota tacoma,1,toyota tacoma,60,"$57,744,720",Screen Gems,2010,0,2,2,60,1
Inception,2008 toyota tundra,2,toyota tundra,6,"$292,558,188",Warner Bros.,2010,0,4,4,6,2
Little Fockers,2007 volkswagen eos [typ 1f],2,volkswagen eos,37,"$84,557,425",Universal Pictures,2010,0,3,3,37,2
Green Zone,volkswagen golf iii [typ 1h],2,volkswagen golf,90,"$35,053,660",Universal Pictures,2010,0,9,9,90,2
The Town,1999 volkswagen gti iv [typ 1j],1,volkswagen gti,32,"$92,155,037",Warner Bros.,2010,0,1,1,32,1
Dear John,1996 volkswagen jetta a3 [typ 1h],3,volkswagen jetta,40,"$80,014,842",Screen Gems,2010,1,15,16,40,3
Inception,1978 volkswagen passat b1 [typ 32],1,volkswagen passat,6,"$292,558,188",Warner Bros.,2010,0,10,10,6,1
Life as We Know It,2009 volkswagen routan [rt],3,volkswagen routan,64,"$52,727,343",Warner Bros.,2010,1,0,1,64,3
The Book of Eli,2007 volkswagen touareg 2 i [typ 7l],1,volkswagen touareg,30,"$94,835,059",Warner Bros.,2010,0,1,1,30,1
She's Out of My League,2008 volvo c30,3,volvo c30,95,"$32,010,860",Paramount Pictures,2010,1,1,2,95,3
Inception,volvo s40,1,volvo s40,6,"$292,558,188",Warner Bros.,2010,0,4,4,6,1
Inception,2000 volvo s40,1,volvo s40,6,"$292,558,188",Warner Bros.,2010,0,4,4,6,1
The Other Guys,2001 volvo s60,1,volvo s60,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,1,1,18,1
The Other Guys,1999 volvo s80,1,volvo s80,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,2,2,18,1
The Last Song,1997 volvo v70,3,volvo v70,51,"$62,950,384",Walt Disney Studios Motion Pictures,2010,1,7,8,51,3
The Twilight Saga: Eclipse,2010 volvo xc60,3,volvo xc60,5,"$300,531,751",Summit Entertainment,2010,1,1,2,5,3
Cop Out,volvo xc70,2,volvo xc70,73,"$44,875,481",Warner Bros.,2010,0,3,3,73,2
