Release,Car,Stars,Vehicle,Vehicle Original,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star
Venom,2015 chevrolet colorado,1,chevrolet colorado,chevrolet colorado,11,"$213,312,395",Sony Pictures Entertainment (SPE),2018,0,2,2,11,1
Game Night,1977 chevrolet corvette c3,3,chevrolet corvette,chevrolet corvette,43,"$69,179,066",Warner Bros.,2018,1,5,6,43,3
Venom,2016 chevrolet cruze,1,chevrolet cruze,chevrolet cruze,11,"$213,312,395",Sony Pictures Entertainment (SPE),2018,0,8,8,11,1
Ant-Man and the Wasp,2018 chevrolet equinox,1,chevrolet equinox,chevrolet equinox,9,"$216,648,740",Walt Disney Studios Motion Pictures,2018,0,2,2,9,1
Game Night,1996 chevrolet express,3,chevrolet express,chevrolet express,43,"$69,179,066",Warner Bros.,2018,3,2,5,43,3
Book Club,2008 chevrolet hhr panel,1,chevrolet hhr,chevrolet hhr,44,"$68,566,296",Paramount Pictures,2018,0,1,1,44,1
First Man,1962 chevrolet impala,3,chevrolet impala,chevrolet impala,69,"$44,923,035",Universal Pictures,2018,1,21,22,69,3
The Equalizer 2,2017 chevrolet malibu,4,chevrolet malibu,chevrolet malibu,32,"$102,084,362",Sony Pictures Entertainment (SPE),2018,1,15,16,32,4
Rampage,2005 chevrolet silverado,2,chevrolet silverado,chevrolet silverado,33,"$101,028,233",Warner Bros.,2018,0,6,6,33,2
Super Troopers 2,2012 chevrolet sonic,1,chevrolet sonic,chevrolet sonic,94,"$30,617,396",Twentieth Century Fox,2018,0,1,1,94,1
Black Panther,2011 chevrolet spark,1,chevrolet spark,chevrolet spark,1,"$700,059,566",Walt Disney Studios Motion Pictures,2018,0,2,2,1,1
Den of Thieves,2000 chevrolet suburban,4,chevrolet suburban,chevrolet suburban,68,"$44,947,622",STX Entertainment,2018,2,21,23,68,4
Rampage,2015 chevrolet tahoe,2,chevrolet tahoe,chevrolet tahoe,33,"$101,028,233",Warner Bros.,2018,0,21,21,33,2
Rampage,2002 chevrolet trailblazer,1,chevrolet trailblazer,chevrolet trailblazer,33,"$101,028,233",Warner Bros.,2018,0,2,2,33,1
Mile 22,2013 chevrolet traverse,2,chevrolet traverse,chevrolet traverse,82,"$36,108,758",STX Entertainment,2018,0,2,2,82,2
Venom,2017 chevrolet trax,1,chevrolet trax,chevrolet trax,11,"$213,312,395",Sony Pictures Entertainment (SPE),2018,0,1,1,11,1
Insidious: The Last Key,chevrolet uplander,1,chevrolet uplander,chevrolet uplander,47,"$67,745,330",Universal Pictures,2018,0,1,1,47,1
Fifty Shades Freed,2015 chrysler 200,2,chrysler 200,chrysler 200,35,"$100,407,760",Universal Pictures,2018,0,3,3,35,2
The Hate U Give,2015 chrysler 300,3,chrysler 300,chrysler 300,100,"$29,666,375",Twentieth Century Fox,2018,1,9,10,100,3
Tag,2017 chrysler pacifica,4,chrysler pacifica,chrysler pacifica,54,"$54,730,625",Warner Bros.,2018,2,4,6,54,4
Sicario: Day of the Soldado,2001 chrysler pt cruiser,1,chrysler pt cruiser,chrysler pt cruiser,60,"$50,072,235",Sony Pictures Entertainment (SPE),2018,0,2,2,60,1
The Mule,2001 chrysler sebring convertible,1,chrysler sebring,chrysler sebring,49,"$64,720,334",Warner Bros.,2018,0,4,4,49,1
Jurassic World: Fallen Kingdom,2009 chrysler town & country,2,chrysler town & country,chrysler town & country,4,"$417,719,760",Universal Pictures,2018,0,4,4,4,2
Venom,2011 dodge avenger,2,dodge avenger,dodge avenger,11,"$213,312,395",Sony Pictures Entertainment (SPE),2018,0,4,4,11,2
Ant-Man and the Wasp,2015 dodge challenger,2,dodge challenger,dodge challenger,9,"$216,648,740",Walt Disney Studios Motion Pictures,2018,0,8,8,9,2
Ant-Man and the Wasp,2017 dodge charger,3,dodge charger,dodge charger,9,"$216,648,740",Walt Disney Studios Motion Pictures,2018,1,28,29,9,3
Rampage,2000 dodge dakota,1,dodge dakota,dodge dakota,33,"$101,028,233",Warner Bros.,2018,0,1,1,33,1
The Shape of Water,1962 dodge dart,3,dodge dart,dodge dart,63,"$48,189,258",Fox Searchlight Pictures,2018,1,3,4,63,3
Truth or Dare,2005 dodge durango,4,dodge durango,dodge durango,76,"$41,411,015",Universal Pictures,2018,2,5,7,76,4
Deadpool 2,2011 dodge grand caravan,2,dodge grand caravan,dodge grand caravan,5,"$318,491,426",Twentieth Century Fox,2018,0,9,9,5,2
Ocean's Eight,2011 dodge journey,1,dodge journey,dodge journey,22,"$140,218,711",Warner Bros.,2018,0,4,4,22,1
A Star Is Born,2009 dodge ram,3,dodge ram,dodge ram,12,"$201,157,885",Warner Bros.,2018,1,15,16,12,3
Mission: Impossible - Fallout,2015 fiat 500,1,fiat 500,fiat 500,8,"$220,159,104",Paramount Pictures,2018,0,3,3,8,1
Ant-Man and the Wasp,2014 fiat 500l,2,fiat 500l,fiat 500l,9,"$216,648,740",Walt Disney Studios Motion Pictures,2018,0,1,1,9,2
Mission: Impossible - Fallout,2015 ford c-max mkii,1,ford c-max,ford c-max,8,"$220,159,104",Paramount Pictures,2018,0,2,2,8,1
Deadpool 2,2006 ford crown victoria,3,ford crown victoria,ford crown victoria,5,"$318,491,426",Twentieth Century Fox,2018,6,46,52,5,3
A Simple Favor,2008 ford e-450,2,ford e-,ford e-series,56,"$53,548,586",Lionsgate,2018,0,13,13,56,2
Life of the Party,2015 ford edge,3,ford edge,ford edge,57,"$53,059,911",Warner Bros.,2018,1,6,7,57,3
Goosebumps 2: Haunted Halloween,2003 ford escape,3,ford escape,ford escape,66,"$46,700,633",Sony Pictures Entertainment (SPE),2018,1,8,9,66,3
Sicario: Day of the Soldado,1997 ford expedition gen.1,3,ford expedition,ford expedition,60,"$50,072,235",Sony Pictures Entertainment (SPE),2018,2,7,9,60,3
"Three Billboards Outside Ebbing, Missouri",2003 ford explorer,3,ford explorer,ford explorer,96,"$30,349,111",Fox Searchlight Pictures,2018,1,12,13,96,3
Instant Family,1973 ford f-100,4,ford f-,ford f-series,48,"$64,845,006",Paramount Pictures,2018,5,49,54,48,4
Jurassic World: Fallen Kingdom,2014 ford fiesta mkvi,2,ford fiesta,ford fiesta,4,"$417,719,760",Universal Pictures,2018,0,5,5,4,2
Den of Thieves,2009 ford flex,1,ford flex,ford flex,68,"$44,947,622",STX Entertainment,2018,0,2,2,68,1
Game Night,2000 ford focus,2,ford focus,ford focus,43,"$69,179,066",Warner Bros.,2018,0,25,25,43,2
Halloween,2017 ford fusion hybrid,2,ford fusion,ford fusion,19,"$159,336,510",Universal Pictures,2018,0,9,9,19,2
Crazy Rich Asians,ford gt 40 replica,1,ford gt,ford gt,17,"$174,039,071",Warner Bros.,2018,0,1,1,17,1
Creed II,1967 ford mustang,3,ford mustang,ford mustang,28,"$112,448,520",Metro-Goldwyn-Mayer (MGM),2018,2,3,5,28,3
Sicario: Day of the Soldado,2001 ford ranger,2,ford ranger,ford ranger,60,"$50,072,235",Sony Pictures Entertainment (SPE),2018,0,11,11,60,2
The Equalizer 2,2017 ford taurus,3,ford taurus,ford taurus,32,"$102,084,362",Sony Pictures Entertainment (SPE),2018,1,9,10,32,3
Avengers: Infinity War,2007 ford transit mkv,2,ford transit,ford transit,2,"$678,815,482",Walt Disney Studios Motion Pictures,2018,0,7,7,2,2
Den of Thieves,2017 gmc acadia,1,gmc acadia,gmc acadia,68,"$44,947,622",STX Entertainment,2018,0,2,2,68,1
The First Purge,2002 gmc envoy,2,gmc envoy,gmc envoy,42,"$69,488,745",Universal Pictures,2018,0,3,3,42,2
Death Wish,2010 gmc sierra,2,gmc sierra,gmc sierra,85,"$34,017,028",Metro-Goldwyn-Mayer (MGM),2018,0,4,4,85,2
The Equalizer 2,2017 gmc terrain,1,gmc terrain,gmc terrain,32,"$102,084,362",Sony Pictures Entertainment (SPE),2018,0,4,4,32,1
A Star Is Born,2015 gmc yukon denali,3,gmc yukon,gmc yukon,12,"$201,157,885",Warner Bros.,2018,1,7,8,12,3
Ant-Man and the Wasp,2000 gmc yukon xl,3,gmc yukon xl,gmc yukon xl,9,"$216,648,740",Walt Disney Studios Motion Pictures,2018,1,1,2,9,3
I Can Only Imagine,1998 honda accord,2,honda accord,honda accord,37,"$83,482,352",Roadside Attractions,2018,0,24,24,37,2
Life of the Party,2012 honda civic,2,honda civic,honda civic,57,"$53,059,911",Warner Bros.,2018,0,25,25,57,2
Ant-Man and the Wasp,2002 honda cr-v,2,honda cr-v,honda cr-v,9,"$216,648,740",Walt Disney Studios Motion Pictures,2018,0,11,11,9,2
Fifty Shades Freed,2009 honda element,1,honda element,honda element,35,"$100,407,760",Universal Pictures,2018,0,1,1,35,1
Night School,2007 honda fit,2,honda fit,honda fit,40,"$77,316,580",Universal Pictures,2018,0,4,4,40,2
Crazy Rich Asians,2015 honda hr-v,1,honda hr-v,honda hr-v,17,"$174,039,071",Warner Bros.,2018,0,1,1,17,1
Rampage,2010 honda insight,1,honda insight,honda insight,33,"$101,028,233",Warner Bros.,2018,0,2,2,33,1
Goosebumps 2: Haunted Halloween,2002 honda odyssey,2,honda odyssey,honda odyssey,66,"$46,700,633",Sony Pictures Entertainment (SPE),2018,0,6,6,66,2
Avengers: Infinity War,2012 honda pilot,1,honda pilot,honda pilot,2,"$678,815,482",Walt Disney Studios Motion Pictures,2018,0,1,1,2,1
Hereditary,2006 honda ridgeline,1,honda ridgeline,honda ridgeline,70,"$44,069,456",A24,2018,0,2,2,70,1
Overboard,2003 hyundai accent,4,hyundai accent,hyundai accent,59,"$50,316,123",Pantelion Films,2018,1,8,9,59,4
Widows,2017 hyundai elantra,2,hyundai elantra,hyundai elantra,74,"$41,904,173",Twentieth Century Fox,2018,0,11,11,74,2
Deadpool 2,2009 hyundai genesis,1,hyundai genesis,hyundai genesis,5,"$318,491,426",Twentieth Century Fox,2018,0,3,3,5,1
Ant-Man and the Wasp,2018 hyundai kona,2,hyundai kona,hyundai kona,9,"$216,648,740",Walt Disney Studios Motion Pictures,2018,0,1,1,9,2
Ant-Man and the Wasp,2019 hyundai santa fe,3,hyundai santa fe,hyundai santa fe,9,"$216,648,740",Walt Disney Studios Motion Pictures,2018,2,8,10,9,3
Venom,2017 hyundai sonata,1,hyundai sonata,hyundai sonata,11,"$213,312,395",Sony Pictures Entertainment (SPE),2018,0,8,8,11,1
Mission: Impossible - Fallout,2016 hyundai tucson,1,hyundai tucson,hyundai tucson,8,"$220,159,104",Paramount Pictures,2018,0,4,4,8,1
Ant-Man and the Wasp,2019 hyundai veloster,3,hyundai veloster,hyundai veloster,9,"$216,648,740",Walt Disney Studios Motion Pictures,2018,1,1,2,9,3
Red Sparrow,2010 infiniti fx,1,infiniti fx,infiniti qx70/fx,64,"$46,874,505",Twentieth Century Fox,2018,0,1,1,64,1
Uncle Drew,infiniti g,1,infiniti g,infiniti g,73,"$42,469,946",Lionsgate,2018,0,1,1,73,1
Black Panther,2014 infiniti q50,1,infiniti q50,infiniti q50,1,"$700,059,566",Walt Disney Studios Motion Pictures,2018,0,3,3,1,1
Avengers: Infinity War,2018 infiniti qx50,2,infiniti qx50,infiniti ex/qx50,2,"$678,815,482",Walt Disney Studios Motion Pictures,2018,0,1,1,2,2
Paddington 2,2014 jaguar f-type coupé [x152],1,jaguar f-type,jaguar f-type,77,"$40,891,591",Warner Bros.,2018,0,1,1,77,1
Tomb Raider,2008 jaguar xf [x250],1,jaguar xf,jaguar xf,52,"$58,250,803",Warner Bros.,2018,0,2,2,52,1
Mission: Impossible - Fallout,2016 jaguar xj [x351],2,jaguar xj,jaguar xj,8,"$220,159,104",Paramount Pictures,2018,0,5,5,8,2
The Mule,1957 jaguar xk 150,1,jaguar xk,jaguar xk,49,"$64,720,334",Warner Bros.,2018,0,2,2,49,1
Maze Runner: The Death Cure,jeep cherokee,3,jeep cherokee,jeep cherokee,53,"$58,032,443",Twentieth Century Fox,2018,1,2,3,53,3
Rampage,jeep compass,1,jeep compass,jeep compass,33,"$101,028,233",Warner Bros.,2018,0,1,1,33,1
Venom,2014 jeep grand cherokee srt,3,jeep grand cherokee,jeep grand cherokee,11,"$213,312,395",Sony Pictures Entertainment (SPE),2018,1,12,13,11,3
Avengers: Infinity War,2002 jeep liberty,1,jeep liberty,jeep liberty,2,"$678,815,482",Walt Disney Studios Motion Pictures,2018,0,2,2,2,1
"Love, Simon",jeep patriot,2,jeep patriot,jeep patriot,78,"$40,826,341",Twentieth Century Fox,2018,0,2,2,78,2
Black Panther,2015 jeep renegade,1,jeep renegade,jeep renegade,1,"$700,059,566",Walt Disney Studios Motion Pictures,2018,0,1,1,1,1
Mile 22,2007 jeep wrangler unlimited,3,jeep wrangler,jeep wrangler,82,"$36,108,758",STX Entertainment,2018,1,8,9,82,3
Deadpool 2,2017 kia forte,1,kia forte,kia forte,5,"$318,491,426",Twentieth Century Fox,2018,0,4,4,5,1
Venom,2011 kia optima,1,kia optima,kia optima,11,"$213,312,395",Sony Pictures Entertainment (SPE),2018,0,4,4,11,1
Mission: Impossible - Fallout,2017 kia rio,1,kia rio,kia rio,8,"$220,159,104",Paramount Pictures,2018,0,3,3,8,1
Venom,2007 kia rondo,2,kia rondo,kia rondo,11,"$213,312,395",Sony Pictures Entertainment (SPE),2018,0,1,1,11,2
Venom,2015 kia sedona,1,kia sedona,kia sedona,11,"$213,312,395",Sony Pictures Entertainment (SPE),2018,0,1,1,11,1
Venom,2003 kia sorento,1,kia sorento,kia sorento,11,"$213,312,395",Sony Pictures Entertainment (SPE),2018,0,5,5,11,1
A Simple Favor,2017 kia soul,1,kia soul,kia soul,56,"$53,548,586",Lionsgate,2018,0,4,4,56,1
Den of Thieves,2007 kia spectra,2,kia spectra,kia spectra,68,"$44,947,622",STX Entertainment,2018,0,2,2,68,2
Venom,2017 kia sportage,1,kia sportage,kia sportage,11,"$213,312,395",Sony Pictures Entertainment (SPE),2018,0,1,1,11,1
Jumanji: Welcome to the Jungle,land-rover defender 110 station wagon,3,land-rover defender,land rover defender,7,"$235,512,923",Sony Pictures Entertainment (SPE),2018,4,4,8,7,3
The Hate U Give,2013 land-rover range rover series iv,3,land-rover range rover,land rover range rover,100,"$29,666,375",Twentieth Century Fox,2018,1,4,5,100,3
Mission: Impossible - Fallout,2011 land-rover range rover evoque,1,land-rover range rover evoque,land rover range rover evoque,8,"$220,159,104",Paramount Pictures,2018,0,1,1,8,1
Black Panther,2014 land-rover range rover sport,2,land-rover range rover sport,land rover range rover sport,1,"$700,059,566",Walt Disney Studios Motion Pictures,2018,0,6,6,1,2
Venom,2011 lexus ct 200h,1,lexus ct,lexus ct,11,"$213,312,395",Sony Pictures Entertainment (SPE),2018,0,1,1,11,1
Death Wish,2002 lexus es 300,1,lexus es,lexus es/es350,85,"$34,017,028",Metro-Goldwyn-Mayer (MGM),2018,0,1,1,85,1
Black Panther,2018 lexus gs f,3,lexus gs,lexus gs,1,"$700,059,566",Walt Disney Studios Motion Pictures,2018,1,2,3,1,3
Den of Thieves,2003 lexus gx 470,1,lexus gx,lexus gx/gx460,68,"$44,947,622",STX Entertainment,2018,0,1,1,68,1
Instant Family,2001 lexus is 300,2,lexus is,lexus is,48,"$64,845,006",Paramount Pictures,2018,0,2,2,48,2
Black Panther,2018 lexus lc 500,3,lexus lc,lexus lc,1,"$700,059,566",Walt Disney Studios Motion Pictures,2018,1,0,1,1,3
Spider-Man: Into the Spider-Verse,2001 lexus ls 430,1,lexus ls,lexus ls,29,"$108,146,445",Sony Pictures Entertainment (SPE),2018,0,2,2,29,1
The Mule,2008 lexus lx 570,1,lexus lx,lexus lx/lx570,49,"$64,720,334",Warner Bros.,2018,0,1,1,49,1
Fifty Shades Freed,2001 lexus rx 300,1,lexus rx,lexus rx,35,"$100,407,760",Universal Pictures,2018,0,2,2,35,1
First Man,1965 lincoln continental,2,lincoln continental,lincoln continental,69,"$44,923,035",Universal Pictures,2018,0,2,2,69,2
Den of Thieves,2013 lincoln mkt stretched limousine,2,lincoln mkt,lincoln mkt,68,"$44,947,622",STX Entertainment,2018,0,2,2,68,2
Den of Thieves,2017 lincoln mkz,2,lincoln mkz,lincoln mkz,68,"$44,947,622",STX Entertainment,2018,0,1,1,68,2
Widows,2015 lincoln navigator,3,lincoln navigator,lincoln navigator,74,"$41,904,173",Twentieth Century Fox,2018,1,1,2,74,3
Blockers,2006 lincoln town car stretched limousine,4,lincoln town car,lincoln town car,50,"$60,311,495",Universal Pictures,2018,4,4,8,50,4
Pacific Rim: Uprising,2014 maserati ghibli,2,maserati ghibli,maserati ghibli,51,"$59,874,525",Universal Pictures,2018,0,1,1,51,2
Mamma Mia! Here We Go Again,1980 maserati quattroporte iii,2,maserati quattroporte,maserati quattroporte,25,"$120,634,935",Universal Pictures,2018,0,1,1,25,2
Venom,2010 mazda 3,1,mazda 3,mazda 3,11,"$213,312,395",Sony Pictures Entertainment (SPE),2018,0,11,11,11,1
Red Sparrow,2005 mazda 5,1,mazda 5,mazda 5,64,"$46,874,505",Twentieth Century Fox,2018,0,1,1,64,1
Game Night,mazda 6,2,mazda 6,mazda 6,43,"$69,179,066",Warner Bros.,2018,0,6,6,43,2
Sicario: Day of the Soldado,1994 mazda b-series,1,mazda b-series,mazda b-series,60,"$50,072,235",Sony Pictures Entertainment (SPE),2018,0,1,1,60,1
Widows,mazda cx-5,1,mazda cx-5,mazda cx-5,74,"$41,904,173",Twentieth Century Fox,2018,0,1,1,74,1
The Hate U Give,mazda rx-8,1,mazda rx-8,mazda rx-8,100,"$29,666,375",Twentieth Century Fox,2018,0,1,1,100,1
Death Wish,2008 mazda tribute,1,mazda tribute,mazda tribute,85,"$34,017,028",Metro-Goldwyn-Mayer (MGM),2018,0,1,1,85,1
Deadpool 2,mercedes-benz a-klasse [w169],1,mercedes-benz a,mercedes-benz a-class,5,"$318,491,426",Twentieth Century Fox,2018,0,6,6,5,1
The Mule,2012 mercedes-benz c-klasse [w204],2,mercedes-benz c,mercedes-benz c-class,49,"$64,720,334",Warner Bros.,2018,0,9,9,49,2
Deadpool 2,2000 mercedes-benz cl [c215],2,mercedes-benz cl,mercedes-benz cl-class,5,"$318,491,426",Twentieth Century Fox,2018,0,1,1,5,2
Widows,2006 mercedes-benz clk 350 [a209],3,mercedes-benz clk,mercedes-benz clk-class,74,"$41,904,173",Twentieth Century Fox,2018,1,1,2,74,3
Den of Thieves,2011 mercedes-benz cls [c218],1,mercedes-benz cls,mercedes-benz cls-class,68,"$44,947,622",STX Entertainment,2018,0,1,1,68,1
Book Club,2013 mercedes-benz e-klasse [w212],2,mercedes-benz e,mercedes-benz e-class,44,"$68,566,296",Paramount Pictures,2018,0,8,8,44,2
The First Purge,2009 mercedes-benz g-klasse [w463],3,mercedes-benz g,mercedes-benz g-class,42,"$69,488,745",Universal Pictures,2018,1,5,6,42,3
Jumanji: Welcome to the Jungle,2013 mercedes-benz gl [x166],2,mercedes-benz gl,mercedes-benz gl-class,7,"$235,512,923",Sony Pictures Entertainment (SPE),2018,0,4,4,7,2
Breaking In,2016 mercedes-benz gle [w166],3,mercedes-benz gle,mercedes-benz gle-class,65,"$46,840,590",Universal Pictures,2018,1,1,2,65,3
The Equalizer 2,2017 mercedes-benz gls 450 [x166],2,mercedes-benz gls,mercedes-benz gls-class,32,"$102,084,362",Sony Pictures Entertainment (SPE),2018,0,1,1,32,2
The Spy Who Dumped Me,mercedes-benz ml [w164],2,mercedes-benz m,mercedes-benz m-class,86,"$33,562,069",Lionsgate,2018,0,4,4,86,2
The Equalizer 2,2014 mercedes-benz s-klasse [w222],2,mercedes-benz s,mercedes-benz s-class,32,"$102,084,362",Sony Pictures Entertainment (SPE),2018,0,9,9,32,2
The Spy Who Dumped Me,1972 mercedes-benz sl [r107],1,mercedes-benz sl,mercedes-benz sl-class,86,"$33,562,069",Lionsgate,2018,0,1,1,86,1
Crazy Rich Asians,2016 mercedes-benz slc 200 [r173],1,mercedes-benz slc,mercedes-benz slc-class,17,"$174,039,071",Warner Bros.,2018,0,1,1,17,1
Mission: Impossible - Fallout,1997 mercedes-benz slk [r170],1,mercedes-benz slk,mercedes-benz slk-class,8,"$220,159,104",Paramount Pictures,2018,0,4,4,8,1
Ant-Man and the Wasp,2010 mercedes-benz sprinter [w906],4,mercedes-benz sprinter,mercedes-benz sprinter,9,"$216,648,740",Walt Disney Studios Motion Pictures,2018,2,10,12,9,4
The Spy Who Dumped Me,mercedes-benz vito [w639],1,mercedes-benz vito,mercedes-benz metris/vito,86,"$33,562,069",Lionsgate,2018,0,1,1,86,1
Creed II,2003 mercury grand marquis,2,mercury grand marquis,mercury grand marquis,28,"$112,448,520",Metro-Goldwyn-Mayer (MGM),2018,0,2,2,28,2
Venom,2002 mercury mountaineer,1,mercury mountaineer,mercury mountaineer,11,"$213,312,395",Sony Pictures Entertainment (SPE),2018,0,1,1,11,1
Jumanji: Welcome to the Jungle,2000 mercury sable,1,mercury sable,mercury sable,7,"$235,512,923",Sony Pictures Entertainment (SPE),2018,0,4,4,7,1
Tomb Raider,2005 mini cooper cabrio,1,mini cooper,mini cooper,52,"$58,250,803",Warner Bros.,2018,0,2,2,52,1
Ocean's Eight,2017 mini countryman cooper s,1,mini countryman,mini countryman,22,"$140,218,711",Warner Bros.,2018,0,2,2,22,1
Den of Thieves,2001 mitsubishi eclipse spyder 3g,1,mitsubishi eclipse,mitsubishi eclipse/spyder,68,"$44,947,622",STX Entertainment,2018,0,2,2,68,1
The Commuter,1993 mitsubishi galant,1,mitsubishi galant,mitsubishi galant,80,"$36,343,858",Lionsgate,2018,0,1,1,80,1
Ready Player One,mitsubishi i-miev,1,mitsubishi i-miev,mitsubishi i-miev,23,"$137,690,172",Warner Bros.,2018,0,1,1,23,1
Deadpool 2,2010 mitsubishi lancer,1,mitsubishi lancer,mitsubishi lancer,5,"$318,491,426",Twentieth Century Fox,2018,0,1,1,5,1
The First Purge,2014 mitsubishi mirage,1,mitsubishi mirage,mitsubishi mirage,42,"$69,488,745",Universal Pictures,2018,0,2,2,42,1
Pacific Rim: Uprising,2015 mitsubishi outlander,1,mitsubishi outlander,mitsubishi outlander,51,"$59,874,525",Universal Pictures,2018,0,1,1,51,1
Death Wish,2003 nissan 350z,1,nissan 350z,nissan 370z/350z,85,"$34,017,028",Metro-Goldwyn-Mayer (MGM),2018,0,1,1,85,1
