Release,Car,Stars,Vehicle,Vehicle Original,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star
Baby Driver,2002 kia spectra,2,kia spectra,kia spectra,31,"$107,825,862",TriStar Pictures,2017,0,6,6,31,2
Spider-Man: Homecoming,kia sportage,1,kia sportage,kia sportage,5,"$334,201,140",Sony Pictures Entertainment (SPE),2017,0,4,4,5,1
The Fate of the Furious,land-rover defender 110,3,land-rover defender,land rover defender,10,"$226,008,385",Universal Pictures,2017,3,5,8,10,3
Transformers: The Last Knight,2016 land-rover discovery series iv,3,land-rover discovery ,land rover discovery ,24,"$130,168,683",Paramount Pictures,2017,1,4,5,24,3
The Fate of the Furious,1995 land-rover range rover series ii,2,land-rover range rover,land rover range rover,10,"$226,008,385",Universal Pictures,2017,0,10,10,10,2
Patriots Day,2012 land-rover range rover evoque,1,land-rover range rover evoque,land rover range rover evoque,83,"$31,319,806",Lionsgate,2017,0,1,1,83,1
John Wick: Chapter 2,2014 land-rover range rover sport,3,land-rover range rover sport,land rover range rover sport,36,"$92,029,184",Lionsgate,2017,1,2,3,36,3
La La Land,2014 lexus ct 200h,2,lexus ct,lexus ct,27,"$120,121,532",Lionsgate,2017,0,1,1,27,2
Spider-Man: Homecoming,2000 lexus es 300,2,lexus es,lexus es/es350,5,"$334,201,140",Sony Pictures Entertainment (SPE),2017,0,4,4,5,2
Baby Driver,2001 lexus gs,1,lexus gs,lexus gs,31,"$107,825,862",TriStar Pictures,2017,0,3,3,31,1
Baby Driver,2003 lexus gx 470,1,lexus gx,lexus gx/gx460,31,"$107,825,862",TriStar Pictures,2017,0,1,1,31,1
Transformers: The Last Knight,2000 lexus is 200,2,lexus is,lexus is,24,"$130,168,683",Paramount Pictures,2017,0,5,5,24,2
The Fate of the Furious,2011 lexus lfa,1,lexus lfa,lexus lfa,10,"$226,008,385",Universal Pictures,2017,0,1,1,10,1
All Eyez on Me,1993 lexus ls 400,2,lexus ls,lexus ls,62,"$44,922,302",Lionsgate,2017,0,1,1,62,2
The Foreigner,2015 lexus nx 300h,1,lexus nx,lexus nx,74,"$34,393,507",STX Entertainment,2017,0,1,1,74,1
Transformers: The Last Knight,2016 lexus rx 450h,3,lexus rx,lexus rx,24,"$130,168,683",Paramount Pictures,2017,1,4,5,24,3
The Boss Baby,lincoln continental stretched limousine,3,lincoln continental,lincoln continental,16,"$175,003,033",Twentieth Century Fox,2017,2,4,6,16,3
Get Out,2015 lincoln mkc,3,lincoln mkc,lincoln mkc,15,"$175,686,870",Universal Pictures,2017,1,0,1,15,3
Lady Bird,2010 lincoln mkt,1,lincoln mkt,lincoln mkt,81,"$31,432,462",A24,2017,0,1,1,81,1
Wonder,2007 lincoln mkx,1,lincoln mkx,lincoln mkx/nautilus,26,"$121,559,294",Lionsgate,2017,0,2,2,26,1
Justice League,2017 lincoln mkz hybrid,1,lincoln mkz,lincoln mkz,11,"$225,546,295",Warner Bros.,2017,0,1,1,11,1
Power Rangers,2015 lincoln navigator,2,lincoln navigator,lincoln navigator,39,"$85,364,450",Lionsgate,2017,0,2,2,39,2
All Eyez on Me,1993 lincoln town car stretched limousine,3,lincoln town car,lincoln town car,62,"$44,922,302",Lionsgate,2017,2,6,8,62,3
Kingsman: The Golden Circle,2009 maserati quattroporte v,1,maserati quattroporte,maserati quattroporte,35,"$100,225,686",Twentieth Century Fox,2017,0,2,2,35,1
The Bye Bye Man,2011 mazda 2,1,mazda 2,mazda 2,97,"$22,395,806",STX Entertainment,2017,0,1,1,97,1
Spider-Man: Homecoming,2014 mazda 3,1,mazda 3,mazda 3,5,"$334,201,140",Sony Pictures Entertainment (SPE),2017,0,10,10,5,1
Spider-Man: Homecoming,2011 mazda 6,1,mazda 6,mazda 6,5,"$334,201,140",Sony Pictures Entertainment (SPE),2017,0,2,2,5,1
Fifty Shades Darker,2016 mazda cx-5,1,mazda cx-5,mazda cx-5,30,"$114,581,250",Universal Pictures,2017,0,1,1,30,1
Logan,2010 mazda cx-7,1,mazda cx-7,mazda cx-7,9,"$226,277,068",Twentieth Century Fox,2017,0,1,1,9,1
La La Land,2001 mazda tribute,1,mazda tribute,mazda tribute,27,"$120,121,532",Lionsgate,2017,0,4,4,27,1
Justice League,2013 mercedes-benz amg vision gran turismo,3,mercedes-benz a,mercedes-benz a-class,11,"$225,546,295",Warner Bros.,2017,1,2,3,11,3
Geostorm,2014 mercedes-benz b-klasse [w246],3,mercedes-benz b,mercedes-benz b-class,77,"$33,578,782",Warner Bros.,2017,1,1,2,77,3
Happy Death Day,2015 mercedes-benz c 300 [w205],3,mercedes-benz c,mercedes-benz c-class,50,"$55,683,845",Universal Pictures,2017,1,12,13,50,3
John Wick: Chapter 2,2014 mercedes-benz cla 250 [c117],1,mercedes-benz cla,mercedes-benz cla-class,36,"$92,029,184",Lionsgate,2017,0,1,1,36,1
Monster Trucks,2000 mercedes-benz clk 320 [a208],2,mercedes-benz clk,mercedes-benz clk-class,78,"$33,370,166",Paramount Pictures,2017,0,5,5,78,2
American Assassin,mercedes-benz cls [c219],3,mercedes-benz cls,mercedes-benz cls-class,73,"$36,249,674",Lionsgate,2017,1,1,2,73,3
Gifted,2014 mercedes-benz e 63 amg [w212],3,mercedes-benz e,mercedes-benz e-class,95,"$24,801,212",Fox Searchlight Pictures,2017,1,9,10,95,3
The Fate of the Furious,mercedes-benz g-klasse [w463],2,mercedes-benz g,mercedes-benz g-class,10,"$226,008,385",Universal Pictures,2017,0,5,5,10,2
Jumanji: Welcome to the Jungle,2013 mercedes-benz gl [x166],2,mercedes-benz gl,mercedes-benz gl-class,18,"$170,863,915",Sony Pictures Entertainment (SPE),2017,0,4,4,18,2
Patriots Day,2012 mercedes-benz ml 350 [w166],4,mercedes-benz m,mercedes-benz m-class,83,"$31,319,806",Lionsgate,2017,1,3,4,83,4
The Fate of the Furious,mercedes-benz s-klasse stretched limousine [v221],3,mercedes-benz s,mercedes-benz s-class,10,"$226,008,385",Universal Pictures,2017,3,11,14,10,3
American Made,mercedes-benz sl [r107],2,mercedes-benz sl,mercedes-benz sl-class,53,"$51,342,000",Universal Pictures,2017,0,3,3,53,2
The Fate of the Furious,2010 mercedes-benz sls amg [c197],1,mercedes-benz sls amg,mercedes-benz sls amg,10,"$226,008,385",Universal Pictures,2017,0,2,2,10,1
The Mummy,2006 mercedes-benz sprinter [w906],3,mercedes-benz sprinter,mercedes-benz sprinter,40,"$80,227,895",Universal Pictures,2017,2,9,11,40,3
Split,1998 mercury grand marquis,2,mercury grand marquis,mercury grand marquis,23,"$138,291,365",Universal Pictures,2017,0,5,5,23,2
Split,2008 mercury mariner hybrid,1,mercury mariner,mercury mariner,23,"$138,291,365",Universal Pictures,2017,0,1,1,23,1
Baby Driver,2006 mercury milan,1,mercury milan,mercury milan,31,"$107,825,862",TriStar Pictures,2017,0,1,1,31,1
Cars 3,1998 mercury mountaineer,1,mercury mountaineer,mercury mountaineer,21,"$152,901,115",Walt Disney Studios Motion Pictures,2017,0,1,1,21,1
Jumanji: Welcome to the Jungle,2000 mercury sable,1,mercury sable,mercury sable,18,"$170,863,915",Sony Pictures Entertainment (SPE),2017,0,2,2,18,1
Cars 3,mini cooper,1,mini cooper,mini cooper,21,"$152,901,115",Walt Disney Studios Motion Pictures,2017,0,7,7,21,1
Rough Night,mini cooper clubman,1,mini cooper clubman,mini cooper clubman,99,"$22,105,643",Sony Pictures Entertainment (SPE),2017,0,1,1,99,1
How to Be a Latin Lover,mini countryman cooper,1,mini countryman,mini countryman,80,"$32,149,404",Pantelion Films,2017,0,1,1,80,1
Baby Driver,2003 mitsubishi eclipse 3g,1,mitsubishi eclipse,mitsubishi eclipse/spyder,31,"$107,825,862",TriStar Pictures,2017,0,1,1,31,1
Baby Driver,2009 mitsubishi galant,3,mitsubishi galant,mitsubishi galant,31,"$107,825,862",TriStar Pictures,2017,1,0,1,31,3
Geostorm,2002 mitsubishi lancer,1,mitsubishi lancer,mitsubishi lancer,77,"$33,578,782",Warner Bros.,2017,0,1,1,77,1
Justice League,2017 mitsubishi outlander phev,1,mitsubishi outlander phev,mitsubishi outlander phev,11,"$225,546,295",Warner Bros.,2017,0,1,1,11,1
Baywatch,2016 nissan 370z,1,nissan 370z,nissan 370z/350z,48,"$58,060,186",Paramount Pictures,2017,0,1,1,48,1
Geostorm,2013 nissan altima,3,nissan altima,nissan altima,77,"$33,578,782",Warner Bros.,2017,1,12,13,77,3
Monster Trucks,2009 nissan frontier,1,nissan frontier,nissan frontier,78,"$33,370,166",Paramount Pictures,2017,0,1,1,78,1
The Fate of the Furious,2009 nissan gt-r,1,nissan gt-r,nissan gt-r,10,"$226,008,385",Universal Pictures,2017,0,2,2,10,1
The House,2014 nissan juke nismo,2,nissan juke,nissan juke,94,"$25,584,504",Warner Bros.,2017,0,1,1,94,2
John Wick: Chapter 2,2007 nissan maxima,3,nissan maxima,nissan maxima,36,"$92,029,184",Lionsgate,2017,1,5,6,36,3
Transformers: The Last Knight,2006 nissan murano,1,nissan murano,nissan murano,24,"$130,168,683",Paramount Pictures,2017,0,2,2,24,1
Baby Driver,2012 nissan nv,1,nissan nv,nissan nv,31,"$107,825,862",TriStar Pictures,2017,0,1,1,31,1
Thor: Ragnarok,2014 nissan nv200 taxi,1,nissan nv200,nissan nv200,7,"$311,225,150",Walt Disney Studios Motion Pictures,2017,0,2,2,7,1
The Fate of the Furious,2000 nissan pathfinder,1,nissan pathfinder,nissan pathfinder,10,"$226,008,385",Universal Pictures,2017,0,3,3,10,1
A Bad Moms Christmas,2011 nissan quest,1,nissan quest,nissan quest,44,"$71,891,988",STX Entertainment,2017,0,1,1,44,1
