Release,Car,Stars,Vehicle,Vehicle Original,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star
The Boy Next Door,2010 cadillac cts sport wagon,3,cadillac cts,cadillac cts,73,"$35,423,380",Universal Pictures,2015,1,3,4,73,3
American Sniper,2006 cadillac dts funeral coach,1,cadillac dts,cadillac dts,6,"$348,797,073",Warner Bros.,2015,0,3,3,6,1
Entourage,2014 cadillac elr,1,cadillac elr,cadillac elr,80,"$32,363,404",Warner Bros.,2015,0,1,1,80,1
Magic Mike XXL,2007 cadillac escalade,3,cadillac escalade,cadillac escalade,43,"$66,013,057",Warner Bros.,2015,4,12,16,43,3
The Gift,2004 cadillac srx,1,cadillac srx,cadillac srx,66,"$43,787,265",STX Entertainment,2015,0,1,1,66,1
The Perfect Guy,2013 cadillac xts,3,cadillac xts,cadillac xts,51,"$57,027,435",Screen Gems,2015,1,1,2,51,3
Kingsman: The Secret Service,2007 chevrolet avalanche,1,chevrolet avalanche,chevrolet avalanche,23,"$128,261,724",Twentieth Century Fox,2015,0,1,1,23,1
Pixels,2007 chevrolet aveo,1,chevrolet aveo,chevrolet aveo,36,"$78,747,585",Sony Pictures Entertainment (SPE),2015,0,1,1,36,1
Straight Outta Compton,1972 chevrolet blazer,2,chevrolet blazer,chevrolet blazer,19,"$161,197,785",Universal Pictures,2015,0,1,1,19,2
Furious 7,1967 chevrolet camaro,3,chevrolet camaro,chevrolet camaro,5,"$353,007,020",Universal Pictures,2015,3,8,11,5,3
Sisters,2006 chevrolet cobalt,2,chevrolet cobalt,chevrolet cobalt,59,"$49,123,380",Universal Pictures,2015,0,3,3,59,2
Entourage,2014 chevrolet corvette stingray c7,3,chevrolet corvette,chevrolet corvette,80,"$32,363,404",Warner Bros.,2015,1,4,5,80,3
Fifty Shades of Grey,2011 chevrolet cruze,1,chevrolet cruze,chevrolet cruze,17,"$166,167,230",Universal Pictures,2015,0,5,5,17,1
Furious 7,2010 chevrolet equinox,1,chevrolet equinox,chevrolet equinox,5,"$353,007,020",Universal Pictures,2015,0,2,2,5,1
Pitch Perfect 2,2003 chevrolet express,2,chevrolet express,chevrolet express,13,"$183,785,415",Universal Pictures,2015,0,2,2,13,2
Straight Outta Compton,1964 chevrolet impala convertible,3,chevrolet impala,chevrolet impala,19,"$161,197,785",Universal Pictures,2015,2,27,29,19,3
Sisters,2013 chevrolet malibu,3,chevrolet malibu,chevrolet malibu,59,"$49,123,380",Universal Pictures,2015,1,13,14,59,3
Tomorrowland,2014 chevrolet silverado,3,chevrolet silverado,chevrolet silverado,29,"$93,436,322",Walt Disney Studios Motion Pictures,2015,2,7,9,29,3
Ant-Man,2012 chevrolet sonic,1,chevrolet sonic,chevrolet sonic,14,"$180,202,163",Walt Disney Studios Motion Pictures,2015,0,1,1,14,1
The Perfect Guy,2013 chevrolet spark,1,chevrolet spark,chevrolet spark,51,"$57,027,435",Screen Gems,2015,0,1,1,51,1
Furious 7,2010 chevrolet suburban,3,chevrolet suburban,chevrolet suburban,5,"$353,007,020",Universal Pictures,2015,3,11,14,5,3
War Room,2007 chevrolet tahoe,4,chevrolet tahoe,chevrolet tahoe,42,"$67,790,117",TriStar Pictures,2015,5,10,15,42,4
Tomorrowland,2002 chevrolet trailblazer,2,chevrolet trailblazer,chevrolet trailblazer,29,"$93,436,322",Walt Disney Studios Motion Pictures,2015,0,3,3,29,2
Black Mass,2013 chevrolet traverse,2,chevrolet traverse,chevrolet traverse,49,"$62,575,678",Warner Bros.,2015,0,2,2,49,2
Tomorrowland,2016 chevrolet volt,2,chevrolet volt,chevrolet volt,29,"$93,436,322",Walt Disney Studios Motion Pictures,2015,0,2,2,29,2
Taken 3,2011 chrysler 200,2,chrysler 200,chrysler 200,32,"$89,256,424",Twentieth Century Fox,2015,0,7,7,32,2
Taken 3,2005 chrysler 300,2,chrysler 300,chrysler 300,32,"$89,256,424",Twentieth Century Fox,2015,0,5,5,32,2
Pixels,2004 chrysler pacifica,1,chrysler pacifica,chrysler pacifica,36,"$78,747,585",Sony Pictures Entertainment (SPE),2015,0,2,2,36,1
Daddy's Home,2002 chrysler pt cruiser,2,chrysler pt cruiser,chrysler pt cruiser,46,"$64,684,278",Paramount Pictures,2015,0,2,2,46,2
Ted 2,1997 chrysler sebring,2,chrysler sebring,chrysler sebring,34,"$81,476,385",Universal Pictures,2015,0,6,6,34,2
Furious 7,2011 chrysler town & country,2,chrysler town & country,chrysler town & country,5,"$353,007,020",Universal Pictures,2015,0,15,15,5,2
Tomorrowland,2012 dodge avenger,1,dodge avenger,dodge avenger,29,"$93,436,322",Walt Disney Studios Motion Pictures,2015,0,4,4,29,1
Max,2007 dodge caliber,1,dodge caliber,dodge caliber,69,"$42,656,255",Warner Bros.,2015,0,1,1,69,1
The Boy Next Door,2013 dodge challenger srt-8,4,dodge challenger,dodge challenger,73,"$35,423,380",Universal Pictures,2015,3,3,6,73,4
Furious 7,1970 dodge charger r/t,3,dodge charger,dodge charger,5,"$353,007,020",Universal Pictures,2015,7,18,25,5,3
Max,1998 dodge dakota,3,dodge dakota,dodge dakota,69,"$42,656,255",Warner Bros.,2015,1,5,6,69,3
Ted 2,2013 dodge dart,4,dodge dart,dodge dart,34,"$81,476,385",Universal Pictures,2015,2,2,4,34,4
Focus,2014 dodge durango,3,dodge durango,dodge durango,54,"$53,862,963",Warner Bros.,2015,1,0,1,54,3
Poltergeist,2008 dodge grand caravan,3,dodge grand caravan,dodge grand caravan,60,"$47,425,125",Twentieth Century Fox,2015,1,3,4,60,3
Entourage,2011 dodge journey,1,dodge journey,dodge journey,80,"$32,363,404",Warner Bros.,2015,0,1,1,80,1
Creed,1998 dodge ram van,4,dodge ram,dodge ram,28,"$99,385,165",Warner Bros.,2015,2,14,16,28,4
Furious 7,dodge viper srt-10,2,dodge viper,dodge viper,5,"$353,007,020",Universal Pictures,2015,0,1,1,5,2
Spectre,2011 fiat 500,2,fiat 500,fiat 500,11,"$197,102,585",Sony Pictures Entertainment (SPE),2015,0,8,8,11,2
The Boy Next Door,2014 fiat 500l trekking,3,fiat 500l,fiat 500l,73,"$35,423,380",Universal Pictures,2015,1,1,2,73,3
Night at the Museum: Secret of the Tomb,2013 ford c-max hybrid,2,ford c-max,ford c-max,65,"$44,392,039",Twentieth Century Fox,2015,0,2,2,65,2
Taken 3,2003 ford crown victoria,4,ford crown victoria,ford crown victoria,32,"$89,256,424",Twentieth Century Fox,2015,9,48,57,32,4
Terminator Genisys,2003 ford e-series,3,ford e-,ford e-series,31,"$89,760,956",Paramount Pictures,2015,2,15,17,31,3
Ant-Man,2011 ford edge,1,ford edge,ford edge,14,"$180,202,163",Walt Disney Studios Motion Pictures,2015,0,3,3,14,1
Furious 7,2013 ford escape,2,ford escape,ford escape,5,"$353,007,020",Universal Pictures,2015,0,11,11,5,2
Sicario,2007 ford expedition gen.3,2,ford expedition,ford expedition,62,"$46,770,373",Lionsgate,2015,0,1,1,62,2
Sinister 2,1999 ford explorer,3,ford explorer,ford explorer,87,"$27,740,955",Focus Features,2015,4,21,25,87,3
The Longest Ride,1996 ford f-350,4,ford f-,ford f-series,72,"$37,446,117",Twentieth Century Fox,2015,7,42,49,72,4
Mission: Impossible - Rogue Nation,2009 ford fiesta mkvi,1,ford fiesta,ford fiesta,12,"$195,042,377",Paramount Pictures,2015,0,10,10,12,1
Daddy's Home,2009 ford flex,4,ford flex,ford flex,46,"$64,684,278",Paramount Pictures,2015,1,1,2,46,4
Chappie,2005 ford focus mkii,2,ford focus,ford focus,82,"$31,569,268",Sony Pictures Entertainment (SPE),2015,0,12,12,82,2
Alvin and the Chipmunks: The Road Chip,2013 ford fusion,4,ford fusion,ford fusion,53,"$55,575,427",Twentieth Century Fox,2015,1,5,6,53,4
Creed,1967 ford mustang,3,ford mustang,ford mustang,28,"$99,385,165",Warner Bros.,2015,4,15,19,28,3
Avengers: Age of Ultron,2007 ford ranger,2,ford ranger,ford ranger,3,"$459,005,868",Walt Disney Studios Motion Pictures,2015,0,5,5,3,2
Joy,1994 ford taurus,3,ford taurus,ford taurus,86,"$28,310,094",Twentieth Century Fox,2015,1,15,16,86,3
Paddington,2007 ford transit mkv,2,ford transit,ford transit,37,"$76,271,832",-,2015,0,1,1,37,2
Pixels,2014 ford transit connect,3,ford transit connect,ford transit connect,36,"$78,747,585",Sony Pictures Entertainment (SPE),2015,1,2,3,36,3
The Visit,2005 gmc envoy xuv,1,gmc envoy,gmc envoy,45,"$65,206,105",Universal Pictures,2015,0,1,1,45,1
Daddy's Home,2003 gmc savana,2,gmc savana,gmc savana,46,"$64,684,278",Paramount Pictures,2015,0,4,4,46,2
Jupiter Ascending,2003 gmc sierra,1,gmc sierra,gmc sierra,61,"$47,387,723",Warner Bros.,2015,0,1,1,61,1
Taken 3,2010 gmc terrain,1,gmc terrain,gmc terrain,32,"$89,256,424",Twentieth Century Fox,2015,0,1,1,32,1
San Andreas,2000 gmc yukon,1,gmc yukon,gmc yukon,20,"$155,190,832",Warner Bros.,2015,0,3,3,20,1
Kingsman: The Secret Service,2000 gmc yukon xl,1,gmc yukon xl,gmc yukon xl,23,"$128,261,724",Twentieth Century Fox,2015,0,1,1,23,1
Taken 3,1998 honda accord coupé,3,honda accord,honda accord,32,"$89,256,424",Twentieth Century Fox,2015,1,20,21,32,3
Sicario,1996 honda civic,2,honda civic,honda civic,62,"$46,770,373",Lionsgate,2015,0,22,22,62,2
Fifty Shades of Grey,1997 honda cr-v,1,honda cr-v,honda cr-v,17,"$166,167,230",Universal Pictures,2015,0,4,4,17,1
Goosebumps,2009 honda fit,1,honda fit,honda fit,35,"$79,132,868",Sony Pictures Entertainment (SPE),2015,0,3,3,35,1
Spy,1999 honda hr-v,1,honda hr-v,honda hr-v,25,"$110,825,712",Twentieth Century Fox,2015,0,1,1,25,1
Paper Towns,1999 honda odyssey,4,honda odyssey,honda odyssey,81,"$32,000,304",Twentieth Century Fox,2015,1,9,10,81,4
The Visit,2004 honda pilot,1,honda pilot,honda pilot,45,"$65,206,105",Universal Pictures,2015,0,3,3,45,1
The Intern,2012 honda ridgeline,1,honda ridgeline,honda ridgeline,38,"$75,574,886",Warner Bros.,2015,0,2,2,38,1
The Night Before,2006 hummer h2 stretched limousine,4,hummer h2,hummer h2,68,"$42,884,826",Sony Pictures Entertainment (SPE),2015,1,0,1,68,4
Ant-Man,2006 hyundai accent,2,hyundai accent,hyundai accent,14,"$180,202,163",Walt Disney Studios Motion Pictures,2015,0,7,7,14,2
Furious 7,2012 hyundai azera,1,hyundai azera,hyundai azera,5,"$353,007,020",Universal Pictures,2015,0,3,3,5,1
Furious 7,2012 hyundai elantra,1,hyundai elantra,hyundai elantra,5,"$353,007,020",Universal Pictures,2015,0,11,11,5,1
Avengers: Age of Ultron,1999 hyundai equus,1,hyundai equus,hyundai equus,3,"$459,005,868",Walt Disney Studios Motion Pictures,2015,0,1,1,3,1
The Intern,2009 hyundai genesis,1,hyundai genesis,hyundai genesis,38,"$75,574,886",Warner Bros.,2015,0,1,1,38,1
San Andreas,2012 hyundai santa fe,2,hyundai santa fe,hyundai santa fe,20,"$155,190,832",Warner Bros.,2015,0,5,5,20,2
Avengers: Age of Ultron,2002 hyundai sonata,2,hyundai sonata,hyundai sonata,3,"$459,005,868",Walt Disney Studios Motion Pictures,2015,0,11,11,3,2
The SpongeBob Movie: Sponge Out of Water,2010 hyundai tucson,1,hyundai tucson,hyundai tucson,18,"$162,994,032",Paramount Pictures,2015,0,4,4,18,1
Avengers: Age of Ultron,2007 hyundai veracruz,1,hyundai veracruz,hyundai veracruz,3,"$459,005,868",Walt Disney Studios Motion Pictures,2015,0,1,1,3,1
Taken 3,2003 infiniti fx,1,infiniti fx,infiniti qx70/fx,32,"$89,256,424",Twentieth Century Fox,2015,0,2,2,32,1
The Intern,2010 infiniti g,1,infiniti g,infiniti g,38,"$75,574,886",Warner Bros.,2015,0,5,5,38,1
Trainwreck,2004 infiniti qx56,1,infiniti qx56,infiniti qx80/qx56,27,"$110,212,700",Universal Pictures,2015,0,2,2,27,1
Furious 7,2015 jaguar f-type r coupé [x152],2,jaguar f-type,jaguar f-type,5,"$353,007,020",Universal Pictures,2015,0,3,3,5,2
Spy,2012 jaguar xf [x250],1,jaguar xf,jaguar xf,25,"$110,825,712",Twentieth Century Fox,2015,0,2,2,25,1
Spectre,2004 jaguar xj [x350],3,jaguar xj,jaguar xj,11,"$197,102,585",Sony Pictures Entertainment (SPE),2015,2,4,6,11,3
Get Hard,jaguar xk [x150],1,jaguar xk,jaguar xk,30,"$90,411,453",Warner Bros.,2015,0,2,2,30,1
Kingsman: The Secret Service,1997 jeep cherokee,2,jeep cherokee,jeep cherokee,23,"$128,261,724",Twentieth Century Fox,2015,0,4,4,23,2
Furious 7,2014 jeep compass,1,jeep compass,jeep compass,5,"$353,007,020",Universal Pictures,2015,0,2,2,5,1
The Age of Adaline,2005 jeep grand cherokee,3,jeep grand cherokee,jeep grand cherokee,70,"$42,629,776",Lionsgate,2015,2,7,9,70,3
Get Hard,2008 jeep liberty,2,jeep liberty,jeep liberty,30,"$90,411,453",Warner Bros.,2015,0,4,4,30,2
Tomorrowland,2011 jeep patriot,1,jeep patriot,jeep patriot,29,"$93,436,322",Walt Disney Studios Motion Pictures,2015,0,1,1,29,1
Jurassic World,1992 jeep wrangler,3,jeep wrangler,jeep wrangler,1,"$652,270,625",Universal Pictures,2015,3,5,8,1,3
Fantastic Four,2010 kia forte,1,kia forte,kia forte,52,"$56,117,548",Twentieth Century Fox,2015,0,5,5,52,1
Ant-Man,2011 kia optima,1,kia optima,kia optima,14,"$180,202,163",Walt Disney Studios Motion Pictures,2015,0,5,5,14,1
Fifty Shades of Grey,2012 kia rio5,1,kia rio,kia rio,17,"$166,167,230",Universal Pictures,2015,0,3,3,17,1
Taken 3,2007 kia rondo,1,kia rondo,kia rondo,32,"$89,256,424",Twentieth Century Fox,2015,0,2,2,32,1
Paul Blart: Mall Cop 2,2002 kia sedona,2,kia sedona,kia sedona,40,"$71,038,190",Sony Pictures Entertainment (SPE),2015,0,1,1,40,2
Daddy's Home,2011 kia sorento,2,kia sorento,kia sorento,46,"$64,684,278",Paramount Pictures,2015,0,2,2,46,2
Goosebumps,2011 kia soul,2,kia soul,kia soul,35,"$79,132,868",Sony Pictures Entertainment (SPE),2015,0,4,4,35,2
Pitch Perfect 2,2004 kia sportage,2,kia sportage,kia sportage,13,"$183,785,415",Universal Pictures,2015,0,5,5,13,2
Spectre,2014 land-rover defender big foot,3,land-rover defender,land rover defender,11,"$197,102,585",Sony Pictures Entertainment (SPE),2015,3,4,7,11,3
Spectre,2015 land-rover discovery sport,3,land-rover discovery ,land rover discovery ,11,"$197,102,585",Sony Pictures Entertainment (SPE),2015,1,4,5,11,3
The Martian,2013 land-rover range rover series iv,2,land-rover range rover,land rover range rover,9,"$225,345,353",Twentieth Century Fox,2015,0,7,7,9,2
Spectre,2015 land-rover range rover sport svr,3,land-rover range rover sport,land rover range rover sport,11,"$197,102,585",Sony Pictures Entertainment (SPE),2015,1,5,6,11,3
Furious 7,2013 lexus es,1,lexus es,lexus es/es350,5,"$353,007,020",Universal Pictures,2015,0,10,10,5,1
Kingsman: The Secret Service,2013 lexus gs 450h,1,lexus gs,lexus gs,23,"$128,261,724",Twentieth Century Fox,2015,0,1,1,23,1
The Gift,2014 lexus gx 460,1,lexus gx,lexus gx/gx460,66,"$43,787,265",STX Entertainment,2015,0,1,1,66,1
The Gift,2011 lexus is,1,lexus is,lexus is,66,"$43,787,265",STX Entertainment,2015,0,3,3,66,1
Straight Outta Compton,1993 lexus ls 400,1,lexus ls,lexus ls,19,"$161,197,785",Universal Pictures,2015,0,4,4,19,1
Get Hard,2013 lexus rx 350,1,lexus rx,lexus rx,30,"$90,411,453",Warner Bros.,2015,0,2,2,30,1
Goosebumps,1969 lincoln continental mark iii,3,lincoln continental,lincoln continental,35,"$79,132,868",Sony Pictures Entertainment (SPE),2015,2,7,9,35,3
Pixels,2011 lincoln mkx,1,lincoln mkx,lincoln mkx/nautilus,36,"$78,747,585",Sony Pictures Entertainment (SPE),2015,0,1,1,36,1
Alvin and the Chipmunks: The Road Chip,2013 lincoln mkz,1,lincoln mkz,lincoln mkz,53,"$55,575,427",Twentieth Century Fox,2015,0,2,2,53,1
San Andreas,2006 lincoln town car,3,lincoln town car,lincoln town car,20,"$155,190,832",Warner Bros.,2015,2,19,21,20,3
Furious 7,2014 maserati ghibli,3,maserati ghibli,maserati ghibli,5,"$353,007,020",Universal Pictures,2015,1,0,1,5,3
Southpaw,2010 maserati granturismo convertible,2,maserati granturismo,maserati granturismo,56,"$52,421,953",The Weinstein Company,2015,0,2,2,56,2
Spy,maserati quattroporte v,1,maserati quattroporte,maserati quattroporte,25,"$110,825,712",Twentieth Century Fox,2015,0,2,2,25,1
American Sniper,2007 mazda 3,1,mazda 3,mazda 3,6,"$348,797,073",Warner Bros.,2015,0,6,6,6,1
Fantastic Four,2008 mazda 5,1,mazda 5,mazda 5,52,"$56,117,548",Twentieth Century Fox,2015,0,2,2,52,1
The Intern,2009 mazda 6,1,mazda 6,mazda 6,38,"$75,574,886",Warner Bros.,2015,0,1,1,38,1
A Walk in the Woods,1994 mazda b-series,1,mazda b-series,mazda b-series,84,"$29,474,282",Broad Green Pictures,2015,0,1,1,84,1
San Andreas,2013 mazda cx-5,1,mazda cx-5,mazda cx-5,20,"$155,190,832",Warner Bros.,2015,0,2,2,20,1
Entourage,1999 mazda mx-5 miata,1,mazda mx-5 miata,mazda mx-5 miata,80,"$32,363,404",Warner Bros.,2015,0,2,2,80,1
Avengers: Age of Ultron,1996 mercedes-benz actros 4143 [mp1],2,mercedes-benz a,mercedes-benz a-class,3,"$459,005,868",Walt Disney Studios Motion Pictures,2015,0,2,2,3,2
Run All Night,2012 mercedes-benz c 63 amg [c204],2,mercedes-benz c,mercedes-benz c-class,92,"$26,461,644",Warner Bros.,2015,0,7,7,92,2
Fifty Shades of Grey,2002 mercedes-benz clk 430 [a208],2,mercedes-benz clk,mercedes-benz clk-class,17,"$166,167,230",Universal Pictures,2015,0,2,2,17,2
Kingsman: The Secret Service,2013 mercedes-benz cls 350 [c218],1,mercedes-benz cls,mercedes-benz cls-class,23,"$128,261,724",Twentieth Century Fox,2015,0,1,1,23,1
The Gift,2014 mercedes-benz e 350 [w212],4,mercedes-benz e,mercedes-benz e-class,66,"$43,787,265",STX Entertainment,2015,1,12,13,66,4
Jurassic World,2014 mercedes-benz g 550 [w463],3,mercedes-benz g,mercedes-benz g-class,1,"$652,270,625",Universal Pictures,2015,3,3,6,1,3
The SpongeBob Movie: Sponge Out of Water,2010 mercedes-benz glk 350 [x204],1,mercedes-benz gl,mercedes-benz gl-class,18,"$162,994,032",Paramount Pictures,2015,0,3,3,18,1
Jurassic World,2015 mercedes-benz gle coupé [c292],3,mercedes-benz gle,mercedes-benz gle-class,1,"$652,270,625",Universal Pictures,2015,1,0,1,1,3
Paul Blart: Mall Cop 2,mercedes-benz ml [w166],2,mercedes-benz m,mercedes-benz m-class,40,"$71,038,190",Sony Pictures Entertainment (SPE),2015,0,5,5,40,2
Entourage,2014 mercedes-benz s-klasse [w222],4,mercedes-benz s,mercedes-benz s-class,80,"$32,363,404",Warner Bros.,2015,6,12,18,80,4
The Wedding Ringer,2013 mercedes-benz sl 63 amg [r231],3,mercedes-benz sl,mercedes-benz sl-class,47,"$64,460,211",Screen Gems,2015,1,6,7,47,3
Entourage,2007 mercedes-benz slk [r171],1,mercedes-benz slk,mercedes-benz slk-class,80,"$32,363,404",Warner Bros.,2015,0,1,1,80,1
Spectre,2010 mercedes-benz sls amg [c197],1,mercedes-benz sls amg,mercedes-benz sls amg,11,"$197,102,585",Sony Pictures Entertainment (SPE),2015,0,1,1,11,1
Night at the Museum: Secret of the Tomb,2014 mercedes-benz sprinter [w906],3,mercedes-benz sprinter,mercedes-benz sprinter,65,"$44,392,039",Twentieth Century Fox,2015,1,11,12,65,3
Chappie,2004 mercedes-benz vito [w639],4,mercedes-benz vito,mercedes-benz metris/vito,82,"$31,569,268",Sony Pictures Entertainment (SPE),2015,1,1,2,82,4
Hot Pursuit,2006 mercury grand marquis,1,mercury grand marquis,mercury grand marquis,75,"$34,580,201",Warner Bros.,2015,0,3,3,75,1
Creed,2005 mercury mariner,1,mercury mariner,mercury mariner,28,"$99,385,165",Warner Bros.,2015,0,1,1,28,1
The Visit,2007 mercury milan,1,mercury milan,mercury milan,45,"$65,206,105",Universal Pictures,2015,0,1,1,45,1
The Big Short,2002 mercury mountaineer,1,mercury mountaineer,mercury mountaineer,97,"$23,995,178",Paramount Pictures,2015,0,1,1,97,1
Run All Night,1996 mercury sable,1,mercury sable,mercury sable,92,"$26,461,644",Warner Bros.,2015,0,1,1,92,1
Pixels,2015 mini cooper s,3,mini cooper,mini cooper,36,"$78,747,585",Sony Pictures Entertainment (SPE),2015,1,8,9,36,3
Woman in Gold,mini cooper clubman,1,mini cooper clubman,mini cooper clubman,77,"$33,307,793",The Weinstein Company,2015,0,1,1,77,1
Insidious: Chapter 3,1999 mitsubishi eclipse 2g,1,mitsubishi eclipse,mitsubishi eclipse/spyder,57,"$52,218,558",Focus Features,2015,0,1,1,57,1
Goosebumps,2009 mitsubishi galant,1,mitsubishi galant,mitsubishi galant,35,"$79,132,868",Sony Pictures Entertainment (SPE),2015,0,1,1,35,1
Vacation,2009 mitsubishi lancer sportback,1,mitsubishi lancer,mitsubishi lancer,50,"$58,884,188",Warner Bros.,2015,0,2,2,50,1
Sicario,1997 mitsubishi mirage,1,mitsubishi mirage,mitsubishi mirage,62,"$46,770,373",Lionsgate,2015,0,1,1,62,1
San Andreas,2010 mitsubishi outlander,1,mitsubishi outlander,mitsubishi outlander,20,"$155,190,832",Warner Bros.,2015,0,1,1,20,1
Tomorrowland,2011 mitsubishi outlander sport,1,mitsubishi outlander sport,mitsubishi outlander sport,29,"$93,436,322",Walt Disney Studios Motion Pictures,2015,0,2,2,29,1
Sisters,2003 nissan 350z,1,nissan 350z,nissan 370z/350z,59,"$49,123,380",Universal Pictures,2015,0,1,1,59,1
San Andreas,2007 nissan altima,1,nissan altima,nissan altima,20,"$155,190,832",Warner Bros.,2015,0,17,17,20,1
Alvin and the Chipmunks: The Road Chip,2009 nissan cube,3,nissan cube,nissan cube,53,"$55,575,427",Twentieth Century Fox,2015,1,0,1,53,3
Ant-Man,2001 nissan frontier,1,nissan frontier,nissan frontier,14,"$180,202,163",Walt Disney Studios Motion Pictures,2015,0,1,1,14,1
