2012 Rank,2011 Rank,Vehicle,2012 Year End,2011 Year End,% Change
#66,#72,Jeep Patriot,62010,54647,+ 13.5%
#67,#69,Hyundai Accent,61004,55601,+ 9.7%
#68,#67,Infiniti G,59844,58246,+ 2.7%
#68.1,#68.1,Infiniti G Sedan,46828,43759,+ 7.0%
#68.2,#68.2,Infiniti G Coupe/Convertible,13016,14487,– 10.2%
#69,#64,Nissan Maxima,59349,58737,+ 1.0%
#70,#68,Cadillac SRX,57485,56905,+ 1.0%
#71,#65,Buick LaCrosse,57076,58474,– 2.4%
#72,#76,BMW 5-Series,56798,51491,+ 10.3%
#73,#58,Ford Fiesta,56775,68574,– 17.2%
#74,#66,Buick Enclave,56703,58392,– 2.9%
#75,#87,Lexus ES,56158,40873,+ 37.4%
#76,#74,Nissan Frontier,55435,51700,+ 7.2%
#77,#73,Nissan Murano,51675,53626,– 3.6%
#78,#84,Acura MDX,50854,43271,+ 17.5%
#79,#63,Honda Fit,49346,59235,– 16.7%
#79.1,#64.1,Honda Fit,49253,59235,– 16.9%
#79.2,#64.2,Honda Fit EV,93,—–,—–
#80,#80,Hyundai Tucson,48878,47232,+ 3.5%
#81,#83,Toyota 4Runner,48755,44316,+ 10.0%
#82,#77,Chevrolet Suburban,48116,49427,– 2.7%
#83,#85,Subaru Legacy,47127,42401,+ 11.1%
#84,#71,Cadillac CTS,46979,55042,– 14.6%
#85,#88,Mini Cooper,45111,40828,+ 10.5%
#85.1,#89.1,Mini Hardtop,29278,28067,+ 4.3%
#85.2,#89.2,Mini Clubman,5769,6844,– 15.7%
#85.3,#89.3,Mini Convertible,4813,4964,– 3.0%
#85.4,#89.4,Mini Coupe,2880,953,+ 202%
#84.5,#89.5,Mini Roadster,2371,—–,—–
#86,#89,BMW X5,44445,40547,+ 9.6%
#87,#134,Fiat 500,43772,19769,+ 121%
#88,#300,Mazda CX-5,43319,—–,—–
#89,#92,Dodge Challenger,43119,39543,+ 9.1%
#90,#93,Toyota Venza,43095,38904,+ 10.8%
#91,#117,Nissan Pathfinder,42621,25935,+ 64.3%
#92,#75,Dodge Durango,42589,51697,– 17.6%
#93,#249,Buick Verano,41042,265,"+ 15,388%"
#94,#102,Volkswagen Golf,40885,34706,+ 17.8%
#94.1,#103.1,Volkswagen Golf,20677,17839,+ 15.9%
#94.2,#103.2,Volkswagen Golf GTI,16314,16867,– 3.3%
#94.3,#103.3,Volkswagen Golf R,3894,—–,—–
#95,#131,Kia Rio,40275,20111,+ 100%
#96,#78,Jeep Compass,40235,47709,– 15.7%
#97,#100,Audi A4,38530,35234,+ 0.5%
#97.1,#101.1,Audi A4 Sedan,34163,31729,+ 7.7%
#97.2,#101.2,Audi A4 Allroad,3115,—–,—–
#97.3,#101.3,Audi A4 Avant,1252,3505,– 64.3%
#98,#97,Mercedes-Benz M-Class,38101,35835,+ 6.3%
#99,#90,Ford Expedition,38062,40499,– 6.0%
#100,#190,Chevrolet Captiva Sport,36935,7038,+ 425%
#101,#108,Chevrolet Colorado,36840,31026,+ 18.7%
#102,#96,Nissan Juke,36358,35886,+ 1.3%
#103,#79,Kia Sportage,36357,47463,– 23.4%
#104,#113,BMW X3,35173,27793,+ 26.6%
#105,#179,Hyundai Veloster,34862,9284,+ 276%
#106,#105,Hyundai Genesis,33973,32998,+ 3.0%
#107,#98,Mazda 6,33756,35711,– 5.5%
#108,#107,Acura TL,33572,31237,+ 7.5%
#109,#116,Volkswagen Tiguan,31731,25990,+ 22.1%
#110,#106,Toyota Yaris,30590,32704,– 6.5%
#111,#112,Toyota Avalon,29556,28925,+ 2.2%
#112,#145,Acura RDX,29520,15196,+ 94.3%
#113,#123,Mercedes-Benz GLK,29364,24310,+ 20.8%
#114,#194,Volkswagen Beetle,29174,6468,+ 351%
#114.1,#195.1,Volkswagen Beetle,28654,5626,+ 409%
#114.2,#195.1,Volkswagen Beetle Convertible,520,842,– 38.2%
#115,#109,Acura TSX,28865,30935,– 6.7%
#115.1,#110.1,Acura TSX Sedan,24631,27725,– 11.2%
#115.2,#110.2,Acura TSX Sport Wagon,4234,3210,+ 31.9%
#116,#121,Audi Q5,28671,24908,+ 15.1%
#117,#115,Ford Flex,28224,27428,+ 2.9%
#118,#114,Lincoln MKZ,28053,27529,+ 1.9%
#119,#104,GMC Yukon,27818,34250,– 18.8%
#120,#110,Lexus IS,27708,29669,– 6.6%
#121,#120,Mercedes-Benz GL-Class,26042,25139,+ 3.6%
#122,#301,Dodge Dart,25303,—–,—–
#123,#125,Lincoln MKX,25107,23395,+ 7.3%
#124,#91,Buick Regal,24616,40144,– 38.7%
#125,#103,Mazda CX-9,24442,34421,– 29.0%
#126,#132,Chevrolet Avalanche,23995,20088,+ 19.4%
#127,#185,Chevrolet Volt,23461,7671,+ 206%
#128,#119,GMC Yukon XL,23427,25223,– 7.1%
#129,#129,Volvo S60,23356,21282,+ 9.7%
#130,#127,Scion tC,22666,22433,+ 1.0%
#131,#118,Cadillac Escalade,22632,25503,– 11.3%
#131.1,#119.,Cadillac Escalade,12615,15079,– 16.3%
#131.,#119.2,Cadillac Escalade ESV,8083,8388,– 3.6%
#131.3,#119.3,Cadillac Escalade EXT,1934,2036,– 5.0%
#132,#212,Lexus GS,22160,3746,+ 492%
#133,#302,Infiniti JX35,21674,—–,—–
#134,#111,Volkswagen CC,21646,29502,– 26.6%
#135,#128,Nissan Titan,21576,21994,– 1.9%
#136,#139,Mini Countryman,21012,16683,+ 25.9%
#137,#6 *,Honda Crosstour,20848,17974,+ 16.0%
#138,#138,Scion xB,19787,17017,+ 16.3%
#139,#54,Ford Ranger,19366,70832,– 72.7%
#140,#148,Mazda 2,19315,13952,+ 38.4%
#141,#154,Volvo XC60,19139,12932,+ 48.0%
#142,#166,Audi A6,18998,11124,+ 70.8%
#143,#159,Nissan Quest,18275,12199,+ 49.8%
#144,#140,Mitsubishi Outlander Sport,18091,16443,+ 10.0%
#145,#136,Nissan Armada,18072,18331,– 1.4%
#146,#147,Lexus CT200h,17673,14381,+ 22.9%
#147,#124,Kia Sedona,17512,24047,– 27.2%
#148,#143,Audi A5,17270,15385,+ 12.3%
#149,#137,Nissan Xterra,17222,18221,– 5.5%
#150,#144,Land Rover Range Rover Sport,16491,15333,+ 7.6%
#151,#133,Mitsubishi Lancer,16426,19874,– 17.3%
#152,#153,Porsche Cayenne,15545,12978,+ 19.8%
#153,#150,Infiniti QX56,15310,13428,+ 14.0%
#154,#303,Cadillac XTS,15049,—–,—–
#155,#135,Mazda 5,14640,19155,– 23.6%
#156,#151,Chevrolet Corvette,14132,13164,+ 7.4%
#157,#172,Honda Ridgeline,14068,9759,+ 44.2%
#158,#149,Toyota FJ Cruiser,13656,13541,+ 0.8%
#159,#305,Ford C-Max,13309,—–,—–
#160,#141,Mitsubishi Galant,13261,15631,– 15.2%
#161,#152,Toyota Sequoia,13151,13022,+ 1.0%
#162,#155,Suzuki SX4,12860,12519,+ 2.7%
#163,#158,Lincoln MKS,12524,12217,+ 2.5%
#164,#306,Chevrolet Spark,12385,—–,—–
#165,#307,Acura ILX,12251,—–,—–
#165.1,#307.1,Acura ILX,11279,—–,—–
#165.2,#307.2,Acura ILX Hybrid,972,—–,—–
#166,#157,Mercedes-Benz S-Class,11794,12258,– 3.8%
#167,#308,Scion FR-S,11417,—–,—–
#168,#99,Mazda CX-7,11326,35641,– 68.2%
#169,#165,BMW 7-Series,11098,11299,– 1.8%
#170,#161,Lexus GX460,11039,11609,– 4.9%
#171,#181,Audi Q7,11008,8998,+ 22.3%
#172,#176,Scion xD,10756,9573,+ 12.4%
#173,#187,Volkswagen Touareg,10553,7535,+ 40.1%
#174,#156,Volkswagen Routan,10483,12473,– 16.0%
#175,#169,Infiniti FX,10424,9939,+ 4.9%
#176,#101,Dodge Caliber,10176,35049,– 71.0%
#177,#205,Smart Fortwo,10009,5208,+ 92.2%
#178,#173,Nissan Leaf,9819,9674,+ 1.5%
#179,#168,Volvo XC90,9513,10609,– 10.3%
#180,#167,Infiniti M,9130,10818,– 15.6%
#181,#310,BMW X1,8947,—–,—–
#182,#225,Land Rover Range Rover Evoque,8901,2244,+ 297%
#183,#250,Scion iQ,8879,248,+ 3480%
#184,#175,GMC Canyon,8735,9590,– 8.9%
#185,#195,Audi A7,8598,6270,+ 37.1%
#186,#198,Porsche 911,8528,6016,+ 41.8%
#187,#232,Hyundai Azera,8431,1524,+ 453%
#188,#183,Lincoln Navigator,8371,8018,+ 4.4%
#189,#177,Lexus LS,8345,9568,– 12.8%
#190,#180,Hyundai Veracruz,8232,9146,– 10.0%
#191,#210,BMW 6-Series,8208,3903,+ 110%
#192,#202,Mercedes-Benz CLS-Class,8065,5665,+ 42.4%
#193,#171,Land Rover Range Rover,7843,9761,– 19.6%
#194,#170,Mitsubishi Outlander,7750,9788,– 20.8%
#195,#182,BMW 1-Series,7689,8832,– 12.9%
#196,#146,Nissan Cube,7667,14459,– 47.0%
#197,#192,Porsche Panamera,7614,6879,+ 10.7%
#198,#312,Subaru XV Crosstrek,7396,—–,—–
#199,#189,Nissan 370Z,7338,7328,+ 0.1%
#200,#184,Land Rover LR4,7316,7984,– 8.4%
#201,#193,Audi A3,7205,6561,+ 9.8%
#202,#206,Lincoln MKT,7094,5024,+ 41.2%
#203,#313,Cadillac ATS,7008,—–,—–
#204,#196,BMW X6,6749,6192,+ 9.0%
#205,#201,Mazda MX-5 Miata,6305,5674,+ 11.1%
#206,#188,Volkswagen Eos,6214,7533,– 17.5%
#207,#200,Audi A8,6002,5700,+ 5.3%
#208,#142,Honda Insight,5846,15549,– 62.4%
#209,#191,Suzuki Kizashi,5566,6942,– 19.8%
#210,#203,Jaguar XF,5526,5303,+ 4.2%
#211,#199,Volvo XC70,5513,5716,– 3.6%
#212,#218,Lexus LX570,5005,3167,+ 58.0%
#213,#207,Suzuki Grand Vitara,4954,4980,– 0.5%
#214,#234,Mercedes-Benz SL-Class,4899,1449,+ 238%
#215,#204,Jaguar XJ,4852,5235,– 7.3%
#216,#216,Mercedes-Benz SLK,4595,3220,+ 42.7%
#217,#208,Volvo C70,4441,4933,– 10.0%
#218,#81,Ford Crown Victoria,4429,46725,– 90.5%
#219,#164,Honda CR-Z,4192,11330,– 63.0%
#220,#314,Subaru BRZ,4144,—–,—–
#221,#217,Hyundai Equus,3972,3193,+ 24.4%
#222,#242,Chevrolet Caprice PPV,3734,880,+ 324%
#223,#197,Infiniti EX,3495,6030,– 42.0%
#224,#209,Volvo S80,3277,4735,– 30.8%
#225,#122,Dodge Nitro,3269,24434,– 86.6%
#226,#222,Land Rover LR2,3113,2777,+ 12.1%
#227,#230,Toyota Land Cruiser,2895,1662,+ 74.2%
#228,#228,Porsche Boxster,2894,1773,+ 63.0%
#229,#214,Volvo C30,2827,3471,– 18.6%
#230,#213,BMW Z4,2751,3479,– 20.9%
#231,#226,Audi TT,2226,2236,– 0.4%
#232,#221,Subaru Tribeca,2075,2791,– 25.7%
#233,#227,Suzuki Equator,1966,2127,– 7.6%
#234,#229,Jaguar XK,1633,1738,– 6.0%
#235,#224,Mercedes-Benz R-Class,1473,2385,– 38.2%
#236,#238,Mercedes-Benz G-Class,1330,1191,+ 11.7%
#237,#237,Nissan GT-R,1188,1294,– 8.2%
#238,#186,Mitsubishi Eclipse,1173,7546,– 84.5%
#238.1,#187.1,Mitsubishi Eclipse,712,4455,– 84.0%
#238.2,#187.2,Mitsubishi Eclipse Spyder,461,3091,– 85.1%
#239,#178,Lincoln Town Car,1001,9460,– 89.4%
#240,#130,Buick Lucerne,971,20358,– 95.2%
#241,#239,Audi R8,802,1145,– 30.0%
#242,#245,Mercedes-Benz SLS AMG,800,722,+ 10.8%
#243,#231,Acura ZDX,775,1564,– 50.4%
#244,#241,Mercedes-Benz CL-Class,723,943,– 23.3%
#245,#220,Lexus HS250h,649,2864,– 77.3%
#246,#253,Mitsubishi i MiEV,588,80,+ 635%
#247,#223,Mazda Tribute,502,2696,– 81.4%
#248,#174,Mitsubishi Endeavor,501,9658,– 94.8%
#249,#160,Dodge Dakota,490,12156,– 96.0%
#250,#162,Cadillac DTS,465,11589,– 96.0%
#251,#235,Porsche Cayman,462,1377,– 66.0%
#252,#240,Acura RL,379,1096,– 65.4%
#253,#215,Cadillac STS,164,3338,– 95.1%
#254,#244,Mazda RX-8,80,759,– 89.5%
#255,#219,Volvo S40,51,2984,– 98.3%
#256,#254,Lexus LFA,46,62,– 25.8%
#257,#258,Mercedes-Benz B-Class,29,19,+ 52.6%
#258,#94,Chevrolet HHR,21,37012,– 99.9%
#259,#251,Dodge Viper,20,197,– 89.8%
#260,#243,Chevrolet Cobalt,11,856,– 98.7%
#261,#255,Suzuki XL7,10,48,– 79.2%
#262,#265,Honda FCX,5,2,+ 150%
#263,#163,Honda Element,3,11534,– 99.97%
#264,#259,Lexus SC430,2,18,– 88.9%
T265,#266,Suzuki Forenza/Reno,1,1,0.0%
T265,#262,Mercedes-Benz CLK,1,6,– 83.3%
—,—,Overall Market,14492398,12779007,+ 13.4%
—,—,Total,14199118,12517295,+ 13.4%
—,—,—–,—–,—–,—–
—,—,Commercial Vans,293280,261712,+ 12.1%
—,—,—–,—–,—–,—–
